,Fabricación,Comercialización,Otros,TOTAL
Total ingresos segmento,494.126 473.885 (224.627) —,,99 —,968.110 (224.627)
Ingresos inter-segmentos,,,,
Ingresos de clientes externos,269.499 473.885,,99,743.483
