,2025 2024
Importe facturas pagadas en un plazo menor a 60 días (miles de euros),360.571 388.106
Facturas pagadas en un plazo inferior a 60 días,33.752 33.867
% Facturas pagadas en un plazo inferior a 60 días/Total facturas pagadas,91 % 90 %
% Importe facturas pagadas en un plazo inferior a 60 días/Importe facturas pagadas,94 % 92 %
