Ejercicio financiero 2023,2023,,,Criterios de contribución sustancial,,,,,,"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"").",,,,,,,,,
Actividades económicas,Códigos,Volumen de negocios (€),"de Proporción negocios, del año volumen 2023",Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Garantía mínimas,"Proporción del volumen de negocios que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2022",Categoría actividad facilitadora,Categoría actividad de transición
A . Actividades elegibles según la Taxonomía,,,,,,,,,,,,,,,,,,,
A.1. Actividades medioambientalmente sostenibles (que se ajustan a la taxonomía),,,,,,,,,,,,,,,,,,,
Volumen de negocios de actividades medioambientalmen te sostenibles (que se ajustan a la taxonomía) (A.1),,- €,0%,0%,0%,0%,0%,0%,S,S,S,S,S,S,S,S,0%,,
De las cuales: facilitadoras,,- €,0%,0%,0%,0%,0%,0%,0%,S,S,S,S,S,S,S,0%,F,
De las cuales: transición,,- €,0%,0%,,,,,,S,S,S,S,S,S,S,0%,,T
A.2. Actividades elegibles según la taxonomía pero no medioambientalmente sostenibles (actividades que no se ajustan a la taxonomía,,,,,,,,,,,,,,,,,,,
Fabricación de ingredientes farmacéuticos activos (IFA) o sustancias activas (*),PPC 1.1,"22.790.234,49 €","2,747%",N/ EL,N/ EL,N/ EL,EL,N/ EL,N/ EL,,,,,,,,N/A,,
Fabricación de medicamentos (*),PPC 12,"275.933.266,60 €","33,265%",N/ EL,N/ EL,N/ EL,EL,N/ EL,N/ EL,,,,,,,,N/A,,
Volumen de negocios de actividades elegibles según la taxonomía pero no medioambientalmen te sostenibles (actividades que no se ajustan a la taxonomía) (A.2),,"298.723.501,09 €","36,012%",0%,0%,0%,"36,012 %",0%,0%,,,,,,,,N/A,,
A. Volumen de negocios de actividades elegibles según la taxonomía (A.1+A.2),,"298.723.501,09 €","36,012%",0%,0%,0%,"36,012 %",0%,0%,,,,,,,,N/A,,
B . Actividades no elegibles según la Taxonomía,,,,,,,,,,,,,,,,,,,
Volumen de negocios de actividades no elegibles según la taxonomía (B),,"530.785.498,91 €","63,988%",,,,,,,,,,,,,,,,
Total,,"829.509.000,00 €",100%,,,,,,,,,,,,,,,,
