,Miles de euros,,
,Deudas con entidades de crédito,,Pasivos financieros
,2024 2023,,2024 2023
,,,
Pasivos financieros a coste amortizado (Nota 18),70.659,,
No corrientes,70.659,,
,,,
Pasivos financieros a coste amortizado (Nota 18),16.280,,
Corrientes,,,
,,,
TOTAL,86.939,,
