,Rating 2025,Saldo 2025,Rating 2024,Saldo 2024
Portugal,A-,2.785 1.313 3.808 2.322 2.111 672 363 434 892 409 359 149 459 1.260,A-,2.227 695 4.305 4.333 1.657 649 82 245 152 253 460 142 442 934
Madrid,A-,,A-,
Italia,BBB,,BBB,
Valencia,BB,,BB,
Cataluña,BB,,BB,
Andalucía,BBB+,,BBB+,
Castilla La Mancha,BBB-,,BBB-,
Cantabria,BBB,,BBB,
Castilla y León,Baa1,,Baa1,
Aragón,BBB+,,BBB+,
País Vasco,AA-,,AA-,
Canarias,A,,A,
Galicia,A,,A,
Otros,,,,
,,17.336,,16.576
