PERIODO ANTERIOR,,Fondos propios,,,,,Ajustes por cambios de valor,Subvenciones donaciones y legados recibidos,Total Patrimonio neto
,,Capital,Prima de emisión y Reservas (1),Acciones y particip. en patrimonio propias,Resultado del ejercicio,Otros instrumentos de patrimonio neto,,,
Saldo inicial al 01/01/2015 (periodo comparativo),3050,3.000,90.977,(2.813),24.344,,(2),4.659,120.165
Ajuste por cambios de criterio contable,3051,,,,,,,,
Ajuste por errores,3052,,,,,,,,
Saldo inicial ajustado (periodo comparativo),3055,3.000,90.977,(2.813),24.344,,(2),4.659,120.165
I. Total ingresos/ (gastos) reconocidos,3060,,,,17.509,,,(251),17.258
II. Operaciones con socios o propietarios,3065,,151,(5.299),(8.450),,,,(13.598)
1. Aumentos/ (Reducciones) de capital,3066,,,,,,,,
2. Conversión de pasivos financieros en patrimonio neto,3067,,,,,,,,
3. Distribución de dividendos,3068,,,,(8.450),,,,(8.450)
4. Operaciones con acciones o participaciones en patrimonio propias (netas),3069,,151,(5.299),,,,,(5.148)
5. Incrementos/ (Reducciones) por combinaciones de negocios,3070,,,,,,,,
6. Otras operaciones con socios o propietarios,3072,,,,,,,,
III. Otras variaciones de patrimonio neto,3075,,15.998,,(15.894),,,,104
1. Pagos basados en instrumentos de patrimonio,3076,,,,,,,,
2. Traspasos entre partidas de patrimonio neto,3077,,15.894,,(15.894),,,,
3. Otras variaciones,3078,,104,,,,,,104
Saldo final al 31/12/2015 (periodo comparativo),3080,3.000,107.126,(8.112),17.509,,(2),4.408,123.929
