Política,Contenido fundamental,Alcance,Nivel de aprobación
Política de Prevención de conflictos de Interés,"Identifica las circunstancias que puedan representar posibles conflictos de interés y las medidas para evitarlas, así como procedimientos para gestionarlos. Además, establece un régimen sancionador si no se respetan los controles establecidos.",Todos los trabajadores del Grupo,Comisión de Auditoría
Política de Estrategia Fiscal Grupo ROVI,Establece los principios de actuación en relación con los procesos tributarios del Grupo. También define el proceso de aplicación de dichos principios y las responsabilidades de la función fiscal dentro de ROVI.,Todas las sociedades del Grupo,Consejo de Administración
Política de Control y Gestión de Riesgos,"Define el proceso de identificación, control y gestión de los riesgos asociados a las actividades de la Compañía. También se describen los órganos encargados de este proceso.",Todas las sociedades del Grupo,Consejo de Administración
Política relativa a la composición del Consejo de Administración,"Establece las pautas para favorecer una composición apropiada del Consejo de Administración y de sus comisiones, describiendo el proceso de selección y nombramiento en base a las necesidades del mismo y promoviendo la diversidad en cuanto a conocimiento, experiencia, edad y género.",Miembros del Consejo de Administración,Consejo de Administración
"Política relativa a la comunicación de información económico- financiera, no financiera y corporativa y de comunicación y contactos con accionistas, inversores institucionales y asesores de voto","Establece los principios, canales y control para la comunicación y relación con los accionistas, inversores institucionales, asesores de voto, entidades financieras intermediarias y mercados en general para asegurar la máxima difusión y calidad de la información a disposición del mercado",Todas las sociedades del Grupo,Consejo de Administración
Plan de Sucesión de ROVI,"Establece los pasos a seguir en el proceso de sucesión del presidente del Consejo de Administración y de los miembros de la Alta Dirección. Además, se describen los conocimientos, aptitudes y experiencias requeridas para suceder a dichos roles.",Miembros del Consejo de Administración y Alta Dirección del Grupo,Consejo de Administración
Política de Retribuciones de Altos Directivos,"Establece el compromiso de ROVI con la atracción, retención y motivación de los altos directivos con talento.",Grupo ROVI,Consejo de Administración
Política de Seguridad de la Información,"Define los conceptos, principios, responsabilidades y objetivos relacionados con la gestión de la Seguridad de la Información, con el objetivo de proporcionar seguridad a las personas, activos tecnológicos y de información frente a daños, ciberataques y malas prácticas.",Todas las sociedades del Grupo y terceros que traten datos de carácter personal,Presidente de la Compañía
Política de Animal Testing,"Establece el compromiso con el Bienestar Animal de la UE y el cumplimiento de las 3R (Reemplazo, Reducción y Refinamiento). También se indica la existencia del manual de Calidad que garantiza el cumplimiento de esta Política.",Todas las sociedades del Grupo,Presidente de la Compañía
