,2023 2022
Ingresos por intereses,7 6 1.497 1.764
Otros ingresos financieros,
Total ingresos financieros,1.504 1.770
,
Gastos por intereses,(667) (606) (281) (243)
Otros gastos financieros,
Total gastos financieros,(948) (849)
,
Resultado por enajenaciones de instrumentos financieros,(219) 1.831 28 (11)
Variación en el valor razonable de instrumentos financieros,
Deterioro y resultado en valoración de instrumentos financieros,(191) 1.820
,
Diferencias de cambio,(86) (821)
,(86) (821)
,
Resultado financiero neto,279 1.920
