Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Contaminación del suelo,,,,,
Aguas abajo,"La gestión inadecuada de medicamentos al final de su vida útil contribuye a la acumulación de residuos en vertederos y, por consiguiente, a la contaminación del suelo.",Impacto negativo,Real,< 1 año,• Política de Gestión de Medio Ambiente • Política de Sostenibilidad en materia Medioambiental y Social
Contaminación del agua,,,,,
Aguas arriba,"El uso extensivo de antibióticos en las cabañas porcinas (de las cuales se obtiene la materia prima para la fabricación de heparina), genera efluentes contaminados que contaminan el agua.",Impacto negativo,Real,< 1 año,• Política de Gestión de Medio Ambiente • Política de Sostenibilidad en materia Medioambiental y Social
Aguas abajo,"La gestión inadecuada de medicamentos al final de su vida útil contribuye a la acumulación de residuos en vertederos y, por consiguiente, a la contaminación de las aguas subterráneas.",Impacto negativo,Real,< 1 año,
Microplásticos,,,,,
A lo largo de la cadena de valor,El consumo elevado de plásticos a lo largo de la cadena de valor farmacéutica genera microplásticos que impactan en la salud humana y en el medio ambiente.,Impacto negativo,Real,< 1 año,• Política de Gestión de Medio Ambiente • Política de Sostenibilidad en materia Medioambiental y Social
Sustancias preocupantes,,,,,
Aguas abajo,"Los medicamentos o productos sanitarios que no se reciclen en el Punto SIGRE o a través de contenedores específicos, incluidos sus envases, tienden a acabar en vertederos por la complejidad del proceso de reciclado de los residuos urbanos, situación que genera un impacto negativo en el medio ambiental contribuir a la contaminación por sustancias preocupantes.",Impacto negativo,Real,< 1 año,• Política de Gestión de Medio Ambiente • Política de Sostenibilidad en materia Medioambiental y Social
