Q1 2025,Q1 2024,Growth,
154.9,151.2,3.7,
0.2,0.2,0.1,
155.1,151.3,3.8,
(64.5),(65.7),1.2,
90.6,85.6,5.0,
58.5 %,56.6 %,,
(6.2),(6.1),(0.1),
(54.0),(53.6),(0.4),
(0.1),0.01,(0.09),
30.3,25.9,4.4,
19.6 %,17.1 %,,
23.0,19.3,3.7,
14.9 %,12.8 %,,
(0.2),(0.3),0.1,
22.8,19.0,3.8,
(4.8),(4.0),(0.7),
20.9 %,21.3 %,,
18.1,15.0,3.1,21 %
,,,
18.1,15.0,3.1,
(0.03),0.00 (0.02),,n.a.
