Activos por impuestos diferidos,,Deducciones pendientes de aplicar,Valoración de AFVRPN,Provisiones,Otros,Total
Al 1 de enero de 2021,,3.619 (1) 376 918 4.912,,,,
Cargo / (abono) a resultados,,(3.619),—,1.026 23 (2.570),,
Al 31 de diciembre de 2021,,—,(1) 1.402 941 2.342,,,
Cargo / (abono) a resultados,,—,—,(847) (256) (1.103),,
Al 31 de diciembre de 2022,,— (1) 555 685 1.239,,,,
