,Ajustable a la Taxonomía por objetivo,Elegible según la taxonomía por objetivo
CCM,0% 0%,
CCA,0% 0%,
WTR,0% 0%,
CE,0% 0%,
PPC*,"0% 37,54 %",
BIO,0%,0%
