,Nota,A 31 de diciembre de,
,,2022,2021
"Flujo de efectivo de las actividades de explotación Beneficios antes de impuestos Ajustes de partidas que no implican movimientos de tesorería: Amortizaciones Ingresos financieros Correcciones valorativas por deterioro Ajustes por cambios de valor de instrumentos derivados Resultado por baja de activos y pasivos financieros Diferencias de cambio Gastos financieros Ingresos por subvenciones, licencias de distribución y otros ingresos diferidos Participación en el resultado de negocios conjuntos Pagos basados en acciones Cambios en capital circulante: Clientes y otras cuentas a cobrar Existencias Otros activos corrientes (gastos anticipados) Proveedores y otras cuentas a pagar Otros cobros y pagos: Cobros por prestación de servicios de fabricación Cobros por licencias de distribución Pagos por intereses Flujo de efectivo por impuestos",6 y 7 26 12 y 13 26 26 10 20 20,257.967 22.871 (1.770) 5.160 11 (1.831) 821 849 (2.904) (199) — (26.820) (71.591) (234) 41.672 57.104 385 — (43.889),182.628 21.364 (68) 4.885 (908) (1.161) — 905 (6.473) (182) 1.403 (74.187) (23.427) (1.778) 35.358 34.429 518 (4) (23.861)
Flujos netos de efectivo generados (utilizados) en las actividades de explotación,,237.602,149.441
Flujo de efectivo por actividades de inversión Adquisición de activos intangibles Adquisición de inmovilizado material Venta de inmovilizado material Adquisición otros activos financieros Venta de inversiones financieras Intereses cobrados,7 6 6,(669) (50.719) 78 (5.870) 20 6,(722) (40.218) 33 — — 68
Flujos netos de efectivo generados (utilizados) en actividades de inversión,,(57.154),(40.839)
Flujo de efectivo por actividades de financiación Pago de deuda financiera Deuda financiera recibida Intereses pagados Compra de acciones propias Reemisión de acciones propias Dividendos pagados Aportación de capital en sociedades dependientes,18 16 d) 16 d) 16 c),(6.768) 1.399 (291) (177.008) 77.766 (51.007) 1.371,(6.192) 1.340 (288) (78.785) 42.328 (21.132) —
Flujos netos de efectivo generados (utilizados) en actividades de financiación,,(154.538),(62.729)
Variación neta de efectivo y equivalentes Efectivo y equivalentes al inicio del ejercicio,9 y 14,25.910 99.035,45.873 53.162
Efectivo y equivalentes al final del ejercicio,9 y 14,124.945,99.035
