,,Annual period ended 31 December,
,Note,2019,2018
PROFIT FOR THE YEAR,16,"25,553","15,581"
Income and expenses credited or charged directly to equity,,484,"828 (1) 1,105 (276) (1,190) (1,586) 396"
"Measurement of financial instruments - Available-for-sale financial assets Grants, donations and legacies received Tax effect Transfers to profit and loss Grants, donations and legacies received Tax effect",11 17 21 17 21,,
,,"- 646 (162) (862) (1,151) 289",
TOTAL RECOGNISED INCOME AND EXPENSES,,"25,175","15,219"
