Miles de euros,,,
Retribución de consejeros ejecutivos Resultado de la Sociedad dominante,,,2016 2015 1.129 1.211 31.842 17.509
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,,,"3,55% 6,92%"
