PERIODO ACTUAL,,Patrimonio neto atribuido a la entidad dominante,,,,,,Intereses minoritarios,Total Patrimonio neto
,,Fondos propios,,,,,Ajustes por cambios de valor,,
,,Capital,Prima de emisión y Reservas (1),Acciones y particip. en patrimonio propias,Resultado del ejercicio atribuido a la entidad dominante,Otros instrumentos de patrimonio neto,,,
Saldo inicial al 01/01/2016,3110,3.000,150.090,(8.112),19.809,,(2),,164.785
Ajuste por cambios de criterio contable,3111,,,,,,,,
Ajuste por errores,3112,,,,,,,,
Saldo inicial ajustado,3115,3.000,150.090,(8.112),19.809,,(2),,164.785
I. Total ingresos/ (gastos) reconocidos,3120,,,,26.089,,(1),,26.088
II. Operaciones con socios o propietarios,3125,,48,(589),(6.950),,,,(7.491)
1. Aumentos/ (Reducciones) de capital,3126,,,,,,,,
2. Conversión de pasivos financieros en patrimonio neto,3127,,,,,,,,
3. Distribución de dividendos,3128,,,,(6.950),,,,(6.950)
4. Operaciones con acciones o participaciones en patrimonio propias (netas),3129,,48,(589),,,,,(541)
5. Incrementos/ (Reducciones) por combinaciones de negocios,3130,,,,,,,,
6. Otras operaciones con socios o propietarios,3132,,,,,,,,
III. Otras variaciones de patrimonio neto,3135,,12.883,,(12.859),,,,24
1. Pagos basados en instrumentos de patrimonio,3136,,,,,,,,
2. Traspasos entre partidas de patrimonio neto,3137,,12.859,,(12.859),,,,
3. Otras variaciones,3138,,24,,,,,,24
Saldo final al 31/12/2016,3140,3.000,163.021,(8.701),26.089,,(3),,183.406
