,30 June 2025,30 June 2024
Balance at beginning of period,"1,372 1,823",
(Gain)/loss recognised in profit and loss Additions Derecognitions,(668) (114),
,"3,764 2",
,— (119),
Balance at end of period,"4,468 1,592",
