,Miles de euros
,2023 2022
Resultado del ejercicio antes de impuestos,10.111
Ajustes del resultado:,
- Amortización del inmovilizado (Notas 5 y 6),10.226 (1.423) 2.205 104 (28) (1.097) 3.087 (1.120)
- Ingresos financieros (Nota 24),
- Gastos financieros (Nota 24),
- Diferencias de cambio (Nota 24),
- Ajustes por cambios de valor de instrumentos financieros,
- Resultados por bajas y enajenaciones de instrumentos financieros,
- Variación neta de provisiones,
- Subv. de inmovilizado no financiero e ingresos por licencias de distribución,
- Otros ingresos y gastos,2.681
,24.746
Cambios en el capital corriente:,
- Existencias,2.926
- Deudores y otras cuentas a cobrar,(29.047) 95.510
- Acreedores y otras cuentas a pagar,
,69.389
Otros flujos de efectivo de las actividades de explotación:,
- Cobros (pagos) por impuesto sobre beneficios,(40.186) 255
- Otros Cobros (pagos) (Nota 19),
,(39.931)
Flujos de efectivo generados / (utilizados) de las actividades de explotación,54.204
