,Bases imponibles negativas,Deducc. pendientes de aplicar,30% amortiza. 13 y 14,Provisio- nes,Otros,Total
Al 1 de enero de 2021,3.965 4.411 794 938 997 11.105,,,,,
(Cargo) / abono a la cuenta de resultados,(3.965) (4.411) (151) 2.044 (772),,,,,(7.255)
Al 31 de diciembre de 2021,— —,,643 2.982 225 3.850,,,
(Cargo) / abono a la cuenta de resultados,—,10 (127) (1.453) 198 (1.372),,,,
(Cargo) / abono a patrimonio neto,— — — —,,,,(400) (400),
Al 31 de diciembre de 2022,—,10 516 1.529 23 2.078,,,,
