NEIS E1 Cambio climático 53,
Integración del rendimiento relacionado con la sostenibilidad en sistemas de incentivos (GOV-3) 53,
Plan de transición para la mitigación del cambio climático (E1-1),53
"Impactos, riesgos y oportunidades materiales y su interacción con la estrategia y el modelo de negocio (NEIS 2 55 SBM-3)",
"Descripción de los procesos para determinar y evaluar los impactos, los riesgos y las oportunidades materiales relacionados con el clima (NEIS 2 IRO-1)",56
Políticas relacionadas con la mitigación del cambio climático y la adaptación al mismo (E1-2) 62,
Actuaciones y recursos relacionados con el cambio climático (E1-3),63
Metas relacionadas con la mitigación del cambio climático y la adaptación al mismo (E1-4) 68,
Consumo y combinación energéticos (E1-5),68
"Emisiones de GEI brutas de alcance 1, 2 y 3 y emisiones de GEI totales (E1-6) 70",
Absorciones de GEI y proyectos de mitigación de GEI financiados mediante créditos de carbono (E1-7),73
Sistema de fijación del precio interno del carbono (E1-8) 74,
Efectos financieros previstos de los riesgos físicos y de transición y de las oportunidades potenciales relacionadas con el cambio climático (E1-9),74
NEIS E2 Contaminación 75,
"Procesos para determinar y evaluar los impactos, riesgos y oportunidades materiales relacionados con la 75 contaminación (NEIS 2 IRO-1)",
Políticas relacionadas con la contaminación (E2-1),76
Actuaciones y recursos relacionados con la contaminación (E2-2) 77,
Metas relacionadas con la contaminación (E2-3),79
"Contaminación del aire, del agua y del suelo (E2-4) 79",
Sustancias preocupantes y sustancias extremadamente preocupantes (E2-5),80
"Efectos financieros previstos de los impactos, riesgos y oportunidades relacionados con la contaminación 80 (E2-6)",
NEIS E3 Agua y recursos marinos 81,
"Procesos para determinar y evaluar los impactos, riesgos y oportunidades materiales relacionados con los 81 recursos hídricos y marinos (NEIS 2 IRO-1)",
Políticas relacionadas con los recursos hídricos y marinos (E3-1),82
