,,Annual period ended 31,
,,,
,,December,
,,,
,Note,2021,2020
PROFIT FOR THE YEAR,16,"65,143","71,137"
,,,
Income and expenses credited or charged directly to equity,,700,514
Financial assets at fair value through equity,11,1,—
"Grants, donations and legacies received",17,933,686
Tax effect,21,(234),(172)
,,,
Transfers to profit and loss,,(994),(858)
"Grants, donations and legacies received",17,"(1,326)","(1,145)"
Tax effect,21,332,287
,,,
TOTAL RECOGNISED INCOME AND EXPENSES,,"64,849","70,793"
