,,Tax credits,Fin. assets at,,,
Deferred tax assets,,pending,fair value,,,
,,,,,,
,,application,through OCI,Provisions,Other,Total
"At 1 January, 2020",,"4,831",(1),357,920,"6,107"
Charged / (credited) to profit and loss,,"(1,212)",—,19,(2),"(1,195)"
"At 31 December, 2020",,"3,619",(1),376,918,"4,912"
Charged / (credited) to profit and loss,,"(3,619)",—,"1,026",23,"(2,570)"
"At 31 December, 2021",,—,(1),"1,402",941,"2,342"
