31 December 2019 Note,,Amounts without adoption of IFRS 16,Adjust-ments As reported
"EQUITY Total Equity 322,561 (175) 322,386",,,
LIABILITIES Non-current liabilities Financial debt,"64,705 17,411 82,116 18 54,693 17,411 72,104",,
"Deferred income tax liabilities 1,078 - 1,078 Contract liabilities 5,793 - 5,793 Deferred revenues 3,141 - 3,141",,,
Current liabilities Financial debt,"103,249 3,460 106,709 18 9,241 3,460 12,701",,
"Trade and other payables 91,914 - 91,914 Contract liabilities 1,566 - 1,566 Deferred income 528 - 528",,,
"Total equity and liabilities 490,515 20,696 511,211",,,
