Nombre o denominación social de los administradores o directivos,Nombre o denominación social de la parte vinculada,Vínculo,Naturaleza de la operación,Importe (miles de euros)
DON IVÁN JORGE LÓPEZ-BELMONTE ENCINA,"LABORATORIOS FARMACÉUTICOS ROVI, S.A. - REPRESENTACAO EM PORTUGAL",Comercial,Contratos de arrendamiento operativo,24
DON JUAN LÓPEZ- BELMONTE LÓPEZ,"LABORATORIOS FARMACÉUTICOS ROVI, S.A.",Comercial,Contratos de arrendamiento operativo,747
DON JUAN LÓPEZ- BELMONTE LÓPEZ,PAN QUÍMICA FARMACÉUTICA. S.A.,Comercial,Contratos de arrendamiento operativo,50
DON JUAN LÓPEZ- BELMONTE LÓPEZ,ROVI CONTRACT MANUFACTURING. S.L.,Comercial,Contratos de arrendamiento operativo,829
