Year,,,,,2018,
,Year,,,,2018,2017
2018,,,,,-,
,2018,,,,-,"2,986"
2019,,,,,"2,032",
,2019,,,,"2,032","1,474"
2020,,,,,"1,791",
,2020,,,,"1,791","1,707"
2021,,,,,"1,540",
,2021,,,,"1,540","1,419"
2022,,,,,"1,595",
,2022,,,,"1,595","1,410"
2023,,,,,934,
,2023,,,,934,688
2024 onward,,,,,"3,616",
,2024 onward,,,,"3,616","2,615"
,,,,,"11,508",
,,,,,"11,508","12,299"
Non-current,,,,,"9,476",
,Non-current,,,,"9,476","9,313"
Current,,,,,"2,032",
,Current,,,,"2,032","2,986"
