,"Grants, donations Adjustment and Share Share Treasury Retained Profit for s for legacies capital premium Reserves shares earnings the year changes in received (Note 14) (Note 14) (Note 15) (Note 15) (Note 15) (Note 16) value (Note 17) TOTAL"
"BALANCE, END OF 2022","3,241 87,636 7,032 (27,561) 116,922 39,116 12 1,694 228,092"
Total recognised income and expenses – Distribution of profit for 2022 – Distribution of dividends – Transactions with treasury shares (net) – Other movements,"— — — — — 12,071 (32) (327) 11,712 — — — — (29,933) 29,933 — — — — — — — — (69,049) — — (69,049) — — — (80,115) (1,146) — — — (81,261) — — — — (172) — — — (172)"
"BALANCE, END OF 2023","3,241 87,636 7,032 (107,676) 85,671 12,071 (20) 1,367 89,322"
Total recognised income and expenses – Distribution of profit for 2023 – Distribution of dividends – Operations with treasury shares (net) – Capital reduction,"— — — — — 75,546 (8) (338) 75,200 — — — — (44,380) 44,380 — — — — — — — — (56,451) — — (56,451) — — — (50,332) 2,545 — — — (47,787) (167) — — 152,463 (152,296) — — — —"
"BALANCE, END OF 2024","3,074 87,636 7,032 (5,545) (108,460) 75,546 (28) 1,029 60,284"
