COMPONENTES DEL EFECTIVO Y EQUIVALENTES AL FINAL DEL PERIODO,,PERIODO ACTUAL 31/12/2016,PERIODO ANTERIOR 31/12/2015
(+) Caja y bancos,1550,41.378,29.251
(+) Otros activos financieros,1552,,
(-) Menos: Descubiertos bancarios reintegrables a la vista,1553,,
TOTAL EFECTIVO Y EQUIVALENTES AL FINAL DEL PERIODO,1600,41.378,29.251
