,,PER. CORRIENTE ACTUAL (2º SEMESTRE),,PER. CORRIENTE ANTERIOR (2º SEMESTRE),,ACUMULADO ACTUAL 31/12/2016,,ACUMULADO ANTERIOR 31/12/2015,
,,Importe,%,Importe,%,Importe,%,Importe,%
(+) Importe neto de la cifra de negocios,0205,114.797,"100,00",104.163,"100,00",231.382,"100,00",200.547,"100,00"
(+/-) Variación de existencias de productos terminados y en curso de fabricación,0206,(6.161),"(5,37)",(3.734),"(3,58)",(6.435),"(2,78)",(5.553),"(2,77)"
(+) Trabajos realizados por la empresa para su activo,0207,,,,,,,,
(-) Aprovisionamientos,0208,(60.622),"(52,81)",(56.744),"(54,48)",(129.543),"(55,99)",(109.305),"(54,50)"
(+) Otros ingresos de explotación,0209,1.257,"1,09",860,"0,83",2.792,"1,21",2.165,"1,08"
(-) Gastos de personal,0217,(13.964),"(12,16)",(13.917),"(13,36)",(29.080),"(12,57)",(31.229),"(15,57)"
(-) Otros gastos de explotación,0210,(26.590),"(23,16)",(28.940),"(27,78)",(49.297),"(21,31)",(47.470),"(23,67)"
(-) Amortización del inmovilizado,0211,(4.186),"(3,65)",(3.170),"(3,04)",(7.608),"(3,29)",(6.321),"(3,15)"
(+) Imputación de subvenciones de inmovilizado no financiero y otras,0212,507,"0,44",442,"0,42",1.082,"0,47",750,"0,37"
(+) Excesos de provisiones,0213,,,,,,,,
(+/-) Deterioro y resultado por enajenaciones del inmovilizado,0214,(23),"(0,02)",(12),"(0,01)",(25),"(0,01)",(12),"(0,01)"
(+/-) Otros resultados,0215,,,,,3.997,"1,73",,
= RESULTADO DE EXPLOTACIÓN,0245,5.015,"4,37",(1.052),"(1,01)",17.265,"7,46",3.572,"1,78"
(+) Ingresos financieros,0250,320,"0,28",490,"0,47",15.374,"6,64",13.791,"6,88"
(-) Gastos financieros,0251,(329),"(0,29)",(1.027),"(0,99)",(842),"(0,36)",(1.724),"(0,86)"
(+/-) Variación de valor razonable en instrumentos financieros,0252,,,,,,,,
(+/-) Diferencias de cambio,0254,,,,,,,,
(+/-) Deterioro y resultado por enajenaciones de instrumentos financieros,0255,,,,,,,,
= RESULTADO FINANCIERO,0256,(9),"(0,01)",(537),"(0,52)",14.532,"6,28",12.067,"6,02"
= RESULTADO ANTES DE IMPUESTOS,0265,5.006,"4,36",(1.589),"(1,53)",31.797,"13,74",15.639,"7,80"
(+/-) Impuesto sobre beneficios,0270,502,"0,44",1.838,"1,76",45,"0,02",1.870,"0,93"
= RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS,0280,5.508,"4,80",249,"0,24",31.842,"13,76",17.509,"8,73"
(+/-) Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos,0285,,,,,,,,
= RESULTADO DEL EJERCICIO,0300,5.508,"4,80",249,"0,24",31.842,"13,76",17.509,"8,73"
