,31 December 2024,,31 Decem,ber 2023
Condensed financial information,"Cells IA Cells IA Technologies, Terafront Technologies, Enervit S.L. Farmatech, S.L. S.L. Nutrition, S.L.",,,
Net assets of the joint ventures at the beginning of the year,"502 — — 4,386",,,
Profit/(loss) of joint ventures for the year,"(453) (90) 74,867",,(128) (184),
Additions Capital contribution and share premium,,,30,— —
,—,,600,
Derecognitions,,,—,"(4,202)"
Net assets of joint ventures at the end of the year,49,"74,777",502,—
Share in joint ventures,"449 19,068",,567,—
Carrying amount,449,"19,068",567,—
