,DISTRIBUTION EMPLOYEES BY,,1,,,2,,3,,4,,5,,6,,7,,,,0,,Subsid- iaries,,,TOTAL,,
,CONTRACT TYPE/PROFESSIONAL,,,,,,,,,,,,,,,,,,8,,,,,,,,
,GROUP*,,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent,,,6,,,19,135,,211,,,370,168,,,186,,4,17,,,25,,,"1,141",
,Temporary specific project or service,,,-,,,2,6,,2,,,2,2,,,-,,-,-,,,-,,,14,
,Temporary work backlog,,,-,,,51,44,,11,,,21,9,,,1,,-,-,,,11,,,148,
,Temporary substitution contract,,,-,,,1,-,,1,,,2,1,,,-,,-,-,,,-,,,5,
,Training/apprenticeship,,,-,,,-,5,,11,,,41,24,,,-,,-,-,,,-,,,81,
,Temporary part-time,,,-,,,-,8,,13,,,8,-,,,1,,-,-,,,-,,,30,
,TOTAL,,6 73 198 249 444 204 188 4 17 36,,,,,,,,,,,,,,,,,,,,,,,,
