Thousands of euros Note,31.12.2016 31.12.2016 adjusted presented Difference
NON-CURRENT ASSETS,"79,538 82,085 (2,547)"
"Intangible assets Property, plant and equipment Non-current investments in Group & associated companies 8 y 9 Non-current financial investments Deferred tax assets","22,503 22,503 - 41,171 41,171 - 10,670 13,217 (2,547) 1,587 1,587 - 3,607 3,607 -"
CURRENT ASSETS,"203,370 203,370 -"
Inventories Trade and other receivables Current investments in Group & associated companies Current accruals and prepayments Cash and cash equivalents,"32,074 32,074 - 134,280 134,280 - 5 5 - 3 3 - 37,008 37,008 -"
TOTAL ASSETS,"282,908 285,455 (2,547)"
