,,,,,,,,,Manufacturing,,,Marketing,,,Other,,,,Aggregated
,,,,,,,,,,,,,,,,,,,total
Total assets,,,,,,,,,"131,079",,,"259,389",,,587,,,"391,055",
,Total assets,,,,,,,,,"131,079",,,"259,389",,,587,,,"391,055"
,Of which:,,,,,,,,,,,,,,,,,,
Investments in Group companies,,,,,,,,,-,,,"8,904",,,-,,,"8,904",
,,,,,,,,,,,,,,,,,,,"8,904"
Increases in non-current non-financial assets,,,,,,,,,"8,406",,,"11,538",,,-,,,"19,944",
,Increases in non-current non-financial assets,,,,,,,,,"8,406",,,"11,538",,,-,,,"19,944"
,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,"(80,198)",,,"(106,385)",,,(5),,,"(186,588)",
,,,,,,,,,,,,,,,,,,,"(186,588)"
