,2019,,2018,,Var.,
ATMOSPHERIC EMISSIONS (*),Madrid and Alcalá de Granada Distribution SSRR Henares,,Madrid and Alcalá de Granada Distribution SSRR Henares,,Mad & Gr AH Distr. SSRR,
Tones of CO2 emitted,"1,569","3,644 5,446 1,290","1,263 3,379 5,291","1,456",24% 8% 3% -11%,
Tonnes of CO2 emitted / million units produced,0.003,27.54 137.86 63.92,0.004 30.88 155.61 67.70,,-29% -11% -11% -6%,
,,,,,,
