,Note,31 December,
,,2020,2019
EQUITY Capital and reserves attributable to shareholders of the company Share capital,15,"3,364","3,364"
Share premium,15,"87,636","87,636"
Legal reserve Treasury shares Retained earnings and voluntary reserve Profit for the year,16 16 16 16,"673 (20,185) 241,158 61,057","673 (10,341) 201,784 39,273"
Other reserves,16,(3),(3)
Total equity LIABILITIES Non-current liabilities Financial debt Deferred income tax liabilities,18 19,"373,700","322,386"
,,"68,421 929","72,104 1,078"
Contract liabilities,20,"5,788","5,793"
Deferred income Current liabilities Financial debt Trade and other payables,21 18 17,"2,712","3,141"
,,"77,850","82,116"
,,"6,022 91,364","12,701 91,914"
Contract liabilities,20,"25,005","1,566"
Deferred income,21,498,528
,,"122,889","106,709"
Total liabilities,,"200,739","188,825"
Total equity and liabilities,,"574,439","511,211"
