,2022 2021,
Saldo inicial,72 71,
Ganancias / (Pérdidas) netas en patrimonio neto,(4) 1,
Bajas,(59),—
Saldo final,9 72,
Menos: Parte no corriente,9 72,
Parte corriente,— —,
