,Thousands of euros,,,
,Less than,Between,Between,Over
"At 31 December, 2018",1 year,1 & 2 years,2 & 5 years,5 years
Bank borrowings,"15,694","2,344","2,184","2,730"
Debt with government entities,"1,893","3,709","3,736","2,913"
Trade and other payables,"114,799",-,-,-
,"132,386","6,053","5,920","5,643"
