,2025 2024
Beneficio atribuible a los accionistas de la Sociedad,140.442 136.881 51.146 51.210
Nº medio ponderado de acciones ordinarias en circulación (miles),
Ganancias básicas y diluidas por acción (euros por acción),"2,75 2,67"
