,31 de diciembre de 2024,,31 de diciembre de 2023,
Información financiera resumida,"Cells IA Technologies, S.L.","Terafront Farmatech, S.L.","Cells IA Technologies, S.L.","Enervit Nutrition, S.L."
Activos netos iniciales de los negocios conjuntos,502 —,,— 4.386,
Beneficio/(Pérdida) del ejercicio de los negocios conjuntos,(453) (90) 74.867,,(128) (184),
Alta,,,30,— —
"Aportación de socios, capital y prima de emisión de ROVI",—,,600,
Baja,,,—,(4.202)
Activos netos finales de los negocios conjuntos,49,74.777,502,0
Participación en negocio conjunto,449 19.068,,567,—
Importe en libros,449,19.068,567,0
