Date,Open,High,Low,Close,Adj_Close,Volume,Company,Ticker,Country
2014-01-03,77.20833587646484,81.30000305175781,75.70833587646484,80.5999984741211,76.79296112060547,26563362,Biocon,BIOCON.NS,India
2014-01-10,80.98332977294922,81.91666412353516,75.83333587646484,76.06666564941406,72.47376251220703,44551164,Biocon,BIOCON.NS,India
2014-01-17,76.16666412353516,79.07499694824219,73.19999694824219,73.56666564941406,70.09183502197266,23419824,Biocon,BIOCON.NS,India
2014-01-24,74.4000015258789,82.9000015258789,70.55000305175781,70.93333435058594,67.58289337158203,77794824,Biocon,BIOCON.NS,India
2014-01-31,70.0,73.61666870117188,68.68333435058594,72.70833587646484,69.27404022216797,45848838,Biocon,BIOCON.NS,India
2014-02-07,72.0,74.88333129882812,69.67500305175781,72.55833435058594,69.13115692138672,37441224,Biocon,BIOCON.NS,India
2014-02-14,72.81666564941406,74.2750015258789,70.5999984741211,71.35832977294922,67.9878158569336,21917094,Biocon,BIOCON.NS,India
2014-02-21,70.69999694824219,74.5,70.69999694824219,73.8499984741211,70.36178588867188,18837006,Biocon,BIOCON.NS,India
2014-02-28,73.39166259765625,76.66666412353516,72.41666412353516,76.40833282470703,72.7992935180664,17392728,Biocon,BIOCON.NS,India
2014-03-07,76.75,78.11666870117188,73.25,73.67499542236328,70.19505310058594,22756386,Biocon,BIOCON.NS,India
2014-03-14,73.5,74.6500015258789,70.8499984741211,72.06666564941406,68.66268157958984,19937796,Biocon,BIOCON.NS,India
2014-03-21,72.41666412353516,73.81666564941406,71.68333435058594,72.30833435058594,68.89293670654297,12361578,Biocon,BIOCON.NS,India
2014-03-28,72.05000305175781,73.44999694824219,68.24166870117188,70.2750015258789,66.95565795898438,16793412,Biocon,BIOCON.NS,India
2014-04-04,70.5,74.25,69.83333587646484,72.16666412353516,68.75797271728516,21652632,Biocon,BIOCON.NS,India
2014-04-11,72.28333282470703,73.375,70.5,73.03333282470703,69.58370208740234,16240224,Biocon,BIOCON.NS,India
2014-04-18,73.48332977294922,76.57499694824219,73.08333587646484,75.79166412353516,72.21174621582031,23787540,Biocon,BIOCON.NS,India
2014-04-25,76.83333587646484,85.625,76.66666412353516,78.94166564941406,75.21295928955078,87639402,Biocon,BIOCON.NS,India
2014-05-02,79.0,80.91666412353516,76.94166564941406,79.25,75.5067367553711,20550144,Biocon,BIOCON.NS,India
2014-05-09,79.0250015258789,82.48332977294922,77.83333587646484,78.5,74.79214477539062,26031276,Biocon,BIOCON.NS,India
2014-05-16,78.49166870117188,79.39166259765625,70.16666412353516,71.48332977294922,68.1069107055664,25470930,Biocon,BIOCON.NS,India
2014-05-23,71.98332977294922,76.88333129882812,68.91666412353516,74.32500457763672,70.81436920166016,26189244,Biocon,BIOCON.NS,India
2014-05-30,74.99166870117188,75.9749984741211,71.0,72.88333129882812,69.44078826904297,14814612,Biocon,BIOCON.NS,India
2014-06-06,73.0,78.64166259765625,72.57499694824219,77.64166259765625,73.974365234375,27107874,Biocon,BIOCON.NS,India
2014-06-13,77.68333435058594,85.0,76.16666412353516,80.18333435058594,76.39598846435547,37143834,Biocon,BIOCON.NS,India
2014-06-20,80.16666412353516,84.46666717529297,79.16666412353516,81.56666564941406,77.71397399902344,22647846,Biocon,BIOCON.NS,India
2014-06-27,82.09166717529297,88.53333282470703,79.58333587646484,87.375,83.2479476928711,50594952,Biocon,BIOCON.NS,India
2014-07-04,87.81666564941406,92.26666259765625,86.0,90.58333587646484,86.30474853515625,37746294,Biocon,BIOCON.NS,India
2014-07-11,90.61666870117188,91.13333129882812,78.41666412353516,80.74166870117188,77.70751953125,28093338,Biocon,BIOCON.NS,India
2014-07-18,81.08333587646484,84.44166564941406,79.0,82.14166259765625,79.05490112304688,25756290,Biocon,BIOCON.NS,India
