Date,Open,High,Low,Close,Adj_Close,Volume,Company,Country,Ticker
2013-12-31,163.5,166.0,158.2400054931641,159.75,143.7991027832031,508210,Zydus Lifesciences,India,ZYDUSLIFE.NS
2014-12-31,159.1999969482422,352.0299987792969,154.75,322.3999938964844,292.6006774902344,134956900,Zydus Lifesciences,India,ZYDUSLIFE.NS
2015-12-31,323.1799926757812,453.2999877929688,285.0,332.7000122070312,303.8890075683594,261336059,Zydus Lifesciences,India,ZYDUSLIFE.NS
2016-12-31,334.0499877929688,429.7999877929688,295.0,356.6499938964844,328.8726196289062,246944793,Zydus Lifesciences,India,ZYDUSLIFE.NS
2017-12-31,357.8999938964844,558.5,329.3999938964844,432.5499877929688,401.7216796875,298663629,Zydus Lifesciences,India,ZYDUSLIFE.NS
2018-12-31,434.0,456.75,332.25,350.0499877929688,328.10302734375,372267080,Zydus Lifesciences,India,ZYDUSLIFE.NS
2019-12-31,348.5,359.75,206.5,254.25,241.9991760253906,419815533,Zydus Lifesciences,India,ZYDUSLIFE.NS
2020-12-31,255.3999938964844,499.25,202.0,478.3999938964844,460.9941711425781,1159207225,Zydus Lifesciences,India,ZYDUSLIFE.NS
2021-12-31,494.0,673.7000122070312,408.3500061035156,483.1499938964844,468.308837890625,1062105450,Zydus Lifesciences,India,ZYDUSLIFE.NS
2022-12-31,485.2999877929688,486.8500061035156,319.0,419.9500122070312,409.9664611816406,359994093,Zydus Lifesciences,India,ZYDUSLIFE.NS
2023-12-31,419.8500061035156,707.2000122070312,414.1499938964844,699.1500244140625,688.8928833007812,287408385,Zydus Lifesciences,India,ZYDUSLIFE.NS
2024-12-31,707.4500122070312,1324.300048828125,686.0,973.7999877929688,961.90673828125,402866319,Zydus Lifesciences,India,ZYDUSLIFE.NS
2025-12-31,978.4000244140625,1059.050048828125,795.0,915.0499877929688,914.2284545898438,277865011,Zydus Lifesciences,India,ZYDUSLIFE.NS
2026-12-31,918.8499755859375,1205.0,835.5,1104.5,1104.5,182713787,Zydus Lifesciences,India,ZYDUSLIFE.NS
