,,,,,,,,,,,,,
Marksans Pharma Limited | Balance Sheet (As Reported),,,,,,,,,,,,,
NSEI: MARKSANS (MI KEY: 4812313; SPCIQ KEY: 20904084),,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY
Intangible Assets,731670491,635270717,1055157082,1024727282,930089849,716441733,727024993,413.56,566.92,,,,
Other Intangible Assets,,,,,,,,,,681.73,607.27,546.23,729.74
Intangible Assets Under Development,,,,,,,,60.8,18.77,26.24,40.35,181.09,438.02
Other Non-current Assets,,,,,,,24265868,15.95,15.54,145.66,293.79,217.6,175.54
Other Financial Assets,,,101016876,5880898,8166034,12919961,33024477,25.63,26.08,34.77,,,
Financial Assets and Other Financial Assets,,,,,,,,,,,,,38.72
(I) Other Financial Assets,,,,,,,,,,,26.19,35.71,
Total Assets,4900952513,6755546435,7199980701,7518058432,7321852347,8037083526,9026682323,12288.19,16401,21903.89,26809.53,32396.32,38609.02
Current Liabilities,,,,,,,,,,,,,
Others,,,,,778282714,1059631072,,,,,,,
Trade Payables,831817806,1070195350,1189801764,1617840760,,,,,,,,,20.12
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,,,1960531,14.03,67.48,155.77,58.15,36.33,3348.97
M.m.e,,,,,,1060945,,,,,,,
Total Outstanding Dues of Other Than Micro Enterprises and Small Enterprises,,,,,,,1101330864,1672.61,1933.31,2150.24,2624.62,3020.66,
Provision Ias,,,,,,,,,,,,,3.18
Borrowings,1055392474,821856156,878929105,1097102816,1174132123,999087272,188425387,187.4,412.92,415.88,,,295.91
Iborrowings,,,,,,,,,,,290.91,230.85,
Lease Liabilities,,,,,,,32410485,60.37,280.52,156.68,,,436.58
Ii Lease Liabilities,,,,,,,,,,,249.51,354.92,
"Current Tax Liabilities, Net",,,227520122,31119651,90434813,49043098,118571809,300.21,173.27,252.78,199.08,299.41,
Current tax liabilities (net)x y/4S,,,,,,,,,,,,,415.83
Other Current Liabilities,965789884,398805624,,,,,,15.37,31.46,112.38,302.41,580.26,449.01
Provisions,,,208192957,207399849,203173206,8376974,288640146,18.55,7.24,13.26,,,
Other Financial Liabilities,,,6759130,7119968,100773583,209042237,556210068,721.13,655.98,152.91,,,
Provisions and Employee Benefit Obligations,,,,,,,,,,,19.55,14.47,
Current Liabilities and Provisions,338193964,571497711,,,,,,,,,,,
Iv.other Financial Liabilities,,,,,,,,,,,154.26,236.49,
Total outstanding dues of other than micro enterprises and small enterprises Other financial liabilities,,,,,,,,,,,,,301.3
Total Current Liabilities,,,2511203078,2960583044,2346796439,2326241598,2287549290,2989.67,3562.18,3409.9,3898.49,4773.39,5270.9
Noncurrent Liabilities,,,,,,,,,,,,,
Long-term Borrowings,198154043,,,,,,,,,,,,
Lease Liabilities,,,,,,,75204873,93.26,414.34,656.89,1900.19,2633.29,2701.3
Deferred Tax Liabilities Net,23424746,14550897,24203415,41068194,60111379,70292948,107938444,80.63,176.21,153.86,106.2,36.62,50.87
Minority Interest,66355369,81002032,83606107,62473733,95494128,102168392,131101423,188.57,207.01,199.1,208.52,224.7,295.24
Provisions,,,7102762,9608779,10804340,13557402,14745756,21.11,18.56,32.52,,,59.15
Other Financial Liabilities,,,125000000,110000000,100000000,100000000,50000000,50,,,,,
Provisions and Employee Benefit Obligations,,,,,,,,,,,45.59,59.2,
Shareholders' Equity,,,,,,,,,,,,,
Common Stock - Par Value,520307204,534313698,409313698,409313698,409313698,409313698,409313698,409.31,409.31,453.16,453.16,453.16,453.16
Reserves & Surplus,901517023,3263324967,4039551641,3925010984,4299332363,5015509488,,,,,,,
Other Equity,,,,,,,5950828839,8455.64,11613.39,16998.46,20197.38,24215.96,29778.4
Total Shareholders Equity,1421824227,3797638665,4448865339,4334324682,4708646061,5424823186,6360142537,8864.95,12022.7,17451.62,20650.54,24669.12,30231.56
Total Liabilities & Shareholders Equity,4900952513,6755546435,7199980701,7518058432,7321852347,8037083526,9026682323,12288.19,16401,21903.89,26809.53,32396.32,38609.02
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,
