Date,Open,High,Low,Close,Adj_Close,Volume,Company,Country,Ticker
2013-12-31,100.9339981079102,104.6861877441406,100.6338195800781,102.2097396850586,89.78003692626953,84827,Jubilant Pharmova,India,JUBLPHARMA.NS
2014-12-31,103.2603530883789,166.5973815917969,83.67390441894531,106.5622863769531,95.72093200683594,77277973,Jubilant Pharmova,India,JUBLPHARMA.NS
2015-12-31,107.2751998901367,341.3745422363281,102.8100891113281,314.4713134765625,285.7139587402344,279574979,Jubilant Pharmova,India,JUBLPHARMA.NS
2016-12-31,315.9346618652344,545.5689086914062,206.8584136962891,474.4273071289062,435.0079040527344,274017254,Jubilant Pharmova,India,JUBLPHARMA.NS
2017-12-31,474.8025207519531,658.8851318359375,450.26318359375,583.5410766601562,538.2279663085938,179121580,Jubilant Pharmova,India,JUBLPHARMA.NS
2018-12-31,587.555908203125,779.7057495117188,440.0196838378906,534.4248657226562,495.5010986328125,191426339,Jubilant Pharmova,India,JUBLPHARMA.NS
2019-12-31,532.0609741210938,674.53173828125,293.4590148925781,399.7211303710938,375.0896301269531,134220981,Jubilant Pharmova,India,JUBLPHARMA.NS
2020-12-31,399.7211303710938,682.1487426757812,175.8652954101562,639.2236328125,608.284912109375,157091207,Jubilant Pharmova,India,JUBLPHARMA.NS
2021-12-31,643.1259155273438,999.0,557.0,586.5999755859375,562.4503784179688,76352095,Jubilant Pharmova,India,JUBLPHARMA.NS
2022-12-31,593.4500122070312,594.9000244140625,281.7999877929688,374.75,364.5310363769531,47057646,Jubilant Pharmova,India,JUBLPHARMA.NS
2023-12-31,379.2000122070312,584.0,268.8999938964844,580.1500244140625,571.3886108398438,75011474,Jubilant Pharmova,India,JUBLPHARMA.NS
2024-12-31,582.0499877929688,1309.900024414062,532.1500244140625,1079.900024414062,1069.766479492188,126168399,Jubilant Pharmova,India,JUBLPHARMA.NS
2025-12-31,1085.900024414062,1248.0,802.0,1058.099975585938,1052.650390625,75371352,Jubilant Pharmova,India,JUBLPHARMA.NS
2026-12-31,1060.0,1107.800048828125,786.0499877929688,868.0,868.0,24725495,Jubilant Pharmova,India,JUBLPHARMA.NS
