organized_path,original_archive_member,original_relative_path,category,subcategory,size_bytes
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Annual/0533f7431b7ddb6c__Viatris_Income_Statement_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/0533f7431b7ddb6c__Viatris_Income_Statement_Years.csv,01_EVIDENCE/Non-Indian/Viatris/0533f7431b7ddb6c__Viatris_Income_Statement_Years.csv,01_FINANCIAL_DATA,Annual,5128
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Annual/6aee7680c37e0ab3__Viatris_Balance_Sheet_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/6aee7680c37e0ab3__Viatris_Balance_Sheet_Years.csv,01_EVIDENCE/Non-Indian/Viatris/6aee7680c37e0ab3__Viatris_Balance_Sheet_Years.csv,01_FINANCIAL_DATA,Annual,7342
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Annual/773cbb6ce53f2700__Viatris_Cash_Flow_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/773cbb6ce53f2700__Viatris_Cash_Flow_Years.csv,01_EVIDENCE/Non-Indian/Viatris/773cbb6ce53f2700__Viatris_Cash_Flow_Years.csv,01_FINANCIAL_DATA,Annual,9387
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Interim/e355432487677589__Viatris_Cash_Flow_YTD.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/e355432487677589__Viatris_Cash_Flow_YTD.csv,01_EVIDENCE/Non-Indian/Viatris/e355432487677589__Viatris_Cash_Flow_YTD.csv,01_FINANCIAL_DATA,Interim,23981
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Other/52932510130ec308__Viatris.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/52932510130ec308__Viatris.xlsx,01_EVIDENCE/Non-Indian/Viatris/52932510130ec308__Viatris.xlsx,01_FINANCIAL_DATA,Other,196330
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Other/797f05629c7fa614__25Entities_Report_08-16-2026105310472.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/797f05629c7fa614__25Entities_Report_08-16-2026105310472.xlsx,01_EVIDENCE/Non-Indian/Viatris/797f05629c7fa614__25Entities_Report_08-16-2026105310472.xlsx,01_FINANCIAL_DATA,Other,70621
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Other/9766bb1cf8c4d4fb__25Entities_Report_08-16-2026095454797.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/9766bb1cf8c4d4fb__25Entities_Report_08-16-2026095454797.xlsx,01_EVIDENCE/Non-Indian/Viatris/9766bb1cf8c4d4fb__25Entities_Report_08-16-2026095454797.xlsx,01_FINANCIAL_DATA,Other,32406
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Quarterly/47d82dfcee4ce269__Viatris_Income_Statement_Quarters.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/47d82dfcee4ce269__Viatris_Income_Statement_Quarters.csv,01_EVIDENCE/Non-Indian/Viatris/47d82dfcee4ce269__Viatris_Income_Statement_Quarters.csv,01_FINANCIAL_DATA,Quarterly,16428
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Quarterly/5f7f9ced0d911596__Viatris_Balance_Sheet_Quarters.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/5f7f9ced0d911596__Viatris_Balance_Sheet_Quarters.csv,01_EVIDENCE/Non-Indian/Viatris/5f7f9ced0d911596__Viatris_Balance_Sheet_Quarters.csv,01_FINANCIAL_DATA,Quarterly,25945
02_NON_INDIAN_COMPANIES/Viatris/01_FINANCIAL_DATA/Quarterly/eead037ef969294c__Viatris_yfinance_quarterly_cashflow.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Viatris/eead037ef969294c__Viatris_yfinance_quarterly_cashflow.csv,01_EVIDENCE/Non-Indian/Viatris/eead037ef969294c__Viatris_yfinance_quarterly_cashflow.csv,01_FINANCIAL_DATA,Quarterly,4482
