,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilant Pharmova Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE: 530019 (MI KEY: 4813184; SPCIQ KEY: 4497477),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,1393200,,4795.32,4117700,3916.37,3735400,3392.67,3136400,4564.44,3261700,2441.76,5035500,10053.97,11571500,12308.14,9027000,5019.57,8571900,9838.19,8455700,,9737,,10769,,6227,12671
Other Bank Balances,,,,,,27.1,,53.16,31000,31.87,53900,46.18,196300,3650.13,2063200,1690.57,2700800,1693.6,56900,4.18,4100,,4,,5,,5,5
Ii) Cash and Cash Equivalents,,,,,,,,,,,,,,,,,,,,,,10139,,9564,,10883,,
Iii)other Bank Balances,,,,,,,,,,,,,,,,,,,,,,4,,4,,5,,
Trade Receivables,,8311500,,8058.73,7498200,8639.76,8627600,9505.01,9308600,10053.05,9357000,11307.64,11277600,12715.49,10961000,12932.16,12869400,8199.04,8743300,9279.94,9441700,9612,9036,9159,7950,8915,9610,10696
"Income Tax Assets, Net",,,,,,144.46,,1088.21,20100,43.51,,47.71,14900,11.7,64800,3.35,290800,236.11,9500,1.84,3600,116,235,167,366,180,991,708
