organized_path,original_archive_member,original_relative_path,category,subcategory,size_bytes
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Annual/344bef54d627dd19__Sanofi_Balance_Sheet_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/344bef54d627dd19__Sanofi_Balance_Sheet_Years.csv,01_EVIDENCE/Non-Indian/Sanofi/344bef54d627dd19__Sanofi_Balance_Sheet_Years.csv,01_FINANCIAL_DATA,Annual,9313
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Annual/4c4c5a9b35179c8e__Sanofi_Cash_Flow_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/4c4c5a9b35179c8e__Sanofi_Cash_Flow_Years.csv,01_EVIDENCE/Non-Indian/Sanofi/4c4c5a9b35179c8e__Sanofi_Cash_Flow_Years.csv,01_FINANCIAL_DATA,Annual,13203
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Annual/61b167847576b510__Sanofi_Income_Statement_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/61b167847576b510__Sanofi_Income_Statement_Years.csv,01_EVIDENCE/Non-Indian/Sanofi/61b167847576b510__Sanofi_Income_Statement_Years.csv,01_FINANCIAL_DATA,Annual,8345
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Interim/3a18c2e84ecc0db5__Sanofi_Cash_Flow_YTD.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/3a18c2e84ecc0db5__Sanofi_Cash_Flow_YTD.csv,01_EVIDENCE/Non-Indian/Sanofi/3a18c2e84ecc0db5__Sanofi_Cash_Flow_YTD.csv,01_FINANCIAL_DATA,Interim,15333
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Other/0365325cc2fac687__Sanofi_Income.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/0365325cc2fac687__Sanofi_Income.xlsx,01_EVIDENCE/Non-Indian/Sanofi/0365325cc2fac687__Sanofi_Income.xlsx,01_FINANCIAL_DATA,Other,3279
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Other/29ad8a93dc20bd58__25Entities_Report_08-16-2026105310304.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/29ad8a93dc20bd58__25Entities_Report_08-16-2026105310304.xlsx,01_EVIDENCE/Non-Indian/Sanofi/29ad8a93dc20bd58__25Entities_Report_08-16-2026105310304.xlsx,01_FINANCIAL_DATA,Other,62898
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Other/35cede4a70a07d77__25Entities_Report_08-16-2026095454695.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/35cede4a70a07d77__25Entities_Report_08-16-2026095454695.xlsx,01_EVIDENCE/Non-Indian/Sanofi/35cede4a70a07d77__25Entities_Report_08-16-2026095454695.xlsx,01_FINANCIAL_DATA,Other,38923
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Other/4f15ba9c53845674__Sanofi.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/4f15ba9c53845674__Sanofi.xlsx,01_EVIDENCE/Non-Indian/Sanofi/4f15ba9c53845674__Sanofi.xlsx,01_FINANCIAL_DATA,Other,517943
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Other/6a3d6eb2f90ecd46__Sanofi.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/6a3d6eb2f90ecd46__Sanofi.xlsx,01_EVIDENCE/Non-Indian/Sanofi/6a3d6eb2f90ecd46__Sanofi.xlsx,01_FINANCIAL_DATA,Other,192931
02_NON_INDIAN_COMPANIES/Sanofi/01_FINANCIAL_DATA/Other/80025046e4d15017__Sanofi_Balance.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Sanofi/80025046e4d15017__Sanofi_Balance.xlsx,01_EVIDENCE/Non-Indian/Sanofi/80025046e4d15017__Sanofi_Balance.xlsx,01_FINANCIAL_DATA,Other,3279
