organized_path,original_archive_member,original_relative_path,category,subcategory,size_bytes
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/01_FINANCIAL_DATA/Other/Rovi_Financials_Extracted.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/a273b117084d8aba__Rovi_Financials_Extracted.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/a273b117084d8aba__Rovi_Financials_Extracted.csv,01_FINANCIAL_DATA,Other,32389
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/01_FINANCIAL_DATA/Other/Laboratorios_Rovi.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/f8c39c2856566801__Laboratorios_Rovi.xlsx,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/f8c39c2856566801__Laboratorios_Rovi.xlsx,01_FINANCIAL_DATA,Other,180545
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/01_FINANCIAL_DATA/Quarterly/Rovi_CashFlow_Quarterly_Derived.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/28caef0029535891__Rovi_CashFlow_Quarterly_Derived.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/28caef0029535891__Rovi_CashFlow_Quarterly_Derived.csv,01_FINANCIAL_DATA,Quarterly,2384
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/01_FINANCIAL_DATA/Quarterly/Rovi_Income_Quarterly_Derived.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/b1b081c94ba3b32d__Rovi_Income_Quarterly_Derived.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/b1b081c94ba3b32d__Rovi_Income_Quarterly_Derived.csv,01_FINANCIAL_DATA,Quarterly,6888
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2021_ENG_p202_t03.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/000ef378186316ce__Rovi_Annual_2021_ENG_p202_t03.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/000ef378186316ce__Rovi_Annual_2021_ENG_p202_t03.csv,04_OTHER_SOURCE_MATERIAL,,540
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2025_ES_p136_t00.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/002111dacf91627b__Rovi_Annual_2025_ES_p136_t00.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/002111dacf91627b__Rovi_Annual_2025_ES_p136_t00.csv,04_OTHER_SOURCE_MATERIAL,,342
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2024_ENG_p043.txt,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/0023f40d2f3812a6__Rovi_Annual_2024_ENG_p043.txt,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/0023f40d2f3812a6__Rovi_Annual_2024_ENG_p043.txt,04_OTHER_SOURCE_MATERIAL,,4016
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2018_ENG_p385_t00.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/0032c694f690d48e__Rovi_Annual_2018_ENG_p385_t00.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/0032c694f690d48e__Rovi_Annual_2018_ENG_p385_t00.csv,04_OTHER_SOURCE_MATERIAL,,118
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2023_ES_p104.txt,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/003705868ea9b137__Rovi_Annual_2023_ES_p104.txt,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/003705868ea9b137__Rovi_Annual_2023_ES_p104.txt,04_OTHER_SOURCE_MATERIAL,,3466
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2023_ES_p149_t00.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/00378b65eb574e43__Rovi_Annual_2023_ES_p149_t00.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/00378b65eb574e43__Rovi_Annual_2023_ES_p149_t00.csv,04_OTHER_SOURCE_MATERIAL,,608
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2021_ENG_p094.txt,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/00398402620a191e__Rovi_Annual_2021_ENG_p094.txt,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/00398402620a191e__Rovi_Annual_2021_ENG_p094.txt,04_OTHER_SOURCE_MATERIAL,,2200
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2020_ENG_p116_t00.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/005d464499721523__Rovi_Annual_2020_ENG_p116_t00.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/005d464499721523__Rovi_Annual_2020_ENG_p116_t00.csv,04_OTHER_SOURCE_MATERIAL,,277
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2024_ES_p195_t04.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/0068bbc3dc6d7d9a__Rovi_Annual_2024_ES_p195_t04.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/0068bbc3dc6d7d9a__Rovi_Annual_2024_ES_p195_t04.csv,04_OTHER_SOURCE_MATERIAL,,45
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2023_ES_p368_t00.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/006f7f4a5b4c50fe__Rovi_Annual_2023_ES_p368_t00.csv,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/006f7f4a5b4c50fe__Rovi_Annual_2023_ES_p368_t00.csv,04_OTHER_SOURCE_MATERIAL,,214
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Q1_2025_PressRelease_ENG_p020.txt,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/007ef80ebb890917__Rovi_Q1_2025_PressRelease_ENG_p020.txt,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/007ef80ebb890917__Rovi_Q1_2025_PressRelease_ENG_p020.txt,04_OTHER_SOURCE_MATERIAL,,1506
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2024_ENG_p070.txt,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/008b8afb9ea46d10__Rovi_Annual_2024_ENG_p070.txt,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/008b8afb9ea46d10__Rovi_Annual_2024_ENG_p070.txt,04_OTHER_SOURCE_MATERIAL,,4842
02_NON_INDIAN_COMPANIES/Laboratorios_Rovi/04_OTHER_SOURCE_MATERIAL/Rovi_Annual_2020_ENG_p246.txt,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Laboratorios_Rovi/008c56ca779e4aea__Rovi_Annual_2020_ENG_p246.txt,01_EVIDENCE/Non-Indian/Laboratorios_Rovi/008c56ca779e4aea__Rovi_Annual_2020_ENG_p246.txt,04_OTHER_SOURCE_MATERIAL,,1148
