,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Pharmaceutical Industries Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: SUNPHARMA (MI KEY: 4812438; SPCIQ KEY: 141232),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,63274100,,75901.5,63658500,72645.9,136544000,80751.4,76871200,86628,84198400,79253.7,96943500,70623,58476400,56766.1,50604600,62730.3,69478.5,45082.5,42962.5,46237.3,54031,92856.5,80125.4,102687.7,100223.5,97705.1
Bank Balances Other Than (iii) Above,,,,,,37124.8,,51065.1,50458800,64780.4,40060000,20040.1,1764700,2133,8145600,8109.4,1580400,1724.8,3357.9,5251,10648.3,11465.6,18189.1,12350.3,10024.6,10628.5,22350.7,18325.7
Investments,,22708300,,19984.6,16408300,21662.2,4909600,7138.1,13193400,2308.8,27070300,40906.2,46089600,39507.2,36575100,48973.6,44007200,31300.6,32616.4,76339.4,84739.3,93726.1,76112.4,85845.4,111071.9,136561,156230.1,209334.5
Trade Receivables,,30776200,,22004.2,34917500,50927.5,73917100,67756.6,88637200,72026.1,78143500,78152.8,91238100,88842,84791300,94212.4,95596000,90614,99603.2,104845.9,122007.5,114385.1,113026.5,112493.7,129419.9,130461.1,153960.1,155096.7
Current Tax Asset,,,,,,,,,1605000,,,,,,,,,,,,,,,,,,,
Loans,,,,,,10481.6,,10715.5,7664900,10190.8,11636100,914.3,700000,3093.5,1457200,1483.8,1400900,560.1,1704.9,1699.7,1849.2,413.2,431.1,650.2,474,483.8,516.9,527
