Date,Open,High,Low,Close,Volume,Adj_Close,Company,Country,Ticker
2014-01-03,916.5,940.75,896.0999755859375,932.9000244140625,1543985,866.3441772460938,Lupin,India,LUPIN.NS
2014-01-10,935.5999755859375,950.9500122070312,927.0,936.75,2705867,869.9194946289062,Lupin,India,LUPIN.NS
2014-01-17,936.75,947.5499877929688,891.7000122070312,909.3499755859375,1996791,844.4743041992188,Lupin,India,LUPIN.NS
2014-01-24,911.3499755859375,937.6500244140625,901.75,913.75,1712331,848.5603637695312,Lupin,India,LUPIN.NS
2014-01-31,908.0,917.9000244140625,855.4000244140625,881.9000244140625,3697376,818.9826049804688,Lupin,India,LUPIN.NS
2014-02-07,882.0,932.1500244140625,882.0,919.2999877929688,5327611,853.7144775390625,Lupin,India,LUPIN.NS
2014-02-14,923.0999755859375,930.9000244140625,889.0499877929688,901.3499755859375,1894771,839.813720703125,Lupin,India,LUPIN.NS
2014-02-21,900.0,950.75,899.25,935.7999877929688,1988955,871.9118041992188,Lupin,India,LUPIN.NS
2014-02-28,937.0,1002.400024414062,931.2999877929688,995.4500122070312,2714046,927.4893798828125,Lupin,India,LUPIN.NS
2014-03-07,998.0,1003.700012207031,952.4000244140625,966.2999877929688,2407643,900.3294677734375,Lupin,India,LUPIN.NS
2014-03-14,974.0,979.75,942.2000122070312,944.5499877929688,1847341,880.064453125,Lupin,India,LUPIN.NS
2014-03-21,948.0,958.75,927.0,944.6500244140625,1717746,880.157470703125,Lupin,India,LUPIN.NS
2014-03-28,952.0999755859375,970.0,923.0,947.25,3440137,882.5799560546875,Lupin,India,LUPIN.NS
2014-04-04,956.2000122070312,992.7000122070312,920.0,977.0999755859375,2542248,910.3920288085938,Lupin,India,LUPIN.NS
2014-04-11,978.0,986.7999877929688,945.2999877929688,948.25,1836333,883.51171875,Lupin,India,LUPIN.NS
2014-04-18,950.0,963.7999877929688,938.7000122070312,955.6500244140625,1394143,890.4066162109375,Lupin,India,LUPIN.NS
2014-04-25,959.7999877929688,1001.700012207031,950.0999755859375,992.2999877929688,2671903,924.5543212890625,Lupin,India,LUPIN.NS
2014-05-02,990.25,1019.900024414062,981.1500244140625,1010.099975585938,1975010,941.1392211914062,Lupin,India,LUPIN.NS
2014-05-09,1011.150024414062,1023.0,964.0499877929688,966.0,3998696,900.050048828125,Lupin,India,LUPIN.NS
2014-05-16,974.7999877929688,983.4500122070312,938.7000122070312,958.6500244140625,3033039,893.2015991210938,Lupin,India,LUPIN.NS
2014-05-23,960.0,967.0999755859375,905.0,923.8499755859375,2829949,860.7776489257812,Lupin,India,LUPIN.NS
2014-05-30,924.0,939.8499755859375,902.5999755859375,935.9500122070312,3134628,872.0514526367188,Lupin,India,LUPIN.NS
2014-06-06,937.5,952.2000122070312,913.0499877929688,947.7000122070312,1901581,882.999267578125,Lupin,India,LUPIN.NS
2014-06-13,955.0,994.5,954.0,983.4000244140625,2846309,916.261962890625,Lupin,India,LUPIN.NS
2014-06-20,985.0,1019.0,967.75,999.4500122070312,2562808,931.2163696289062,Lupin,India,LUPIN.NS
2014-06-27,1004.0,1053.800048828125,1000.599975585938,1048.349975585938,2679057,976.7777709960938,Lupin,India,LUPIN.NS
2014-07-04,1050.0,1104.0,1038.0,1088.449951171875,2063737,1014.139892578125,Lupin,India,LUPIN.NS
2014-07-11,1095.0,1095.199951171875,1014.0,1053.25,2087333,981.34326171875,Lupin,India,LUPIN.NS
2014-07-18,1045.0,1095.0,1042.449951171875,1088.0,1950931,1013.720886230469,Lupin,India,LUPIN.NS
2014-07-25,1088.0,1134.599975585938,1076.099975585938,1129.900024414062,2293281,1055.671142578125,Lupin,India,LUPIN.NS
2014-08-01,1129.900024414062,1210.5,1110.099975585938,1165.400024414062,4996701,1088.83935546875,Lupin,India,LUPIN.NS
2014-08-08,1168.0,1189.900024414062,1107.300048828125,1160.449951171875,1863156,1084.21435546875,Lupin,India,LUPIN.NS
2014-08-15,1167.0,1191.800048828125,1152.050048828125,1183.400024414062,1711878,1105.656372070312,Lupin,India,LUPIN.NS
