,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanofi | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENXTPA: SAN (MI KEY: 4404124; SPCIQ KEY: 687130),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1
Period Ended,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,82.562866001,82.271202683,78.13466271200001,76.517581553,67.159048182,70.89390141999999,73.182300095,71.919630736,75.47975627800001,75.012493753,74.877760917,71.6932334,69.284644996,73.73074729000001,77.195366978,76.639048991,80.17124553400001,79.8973282,84.286046241,79.688573391,77.76094276100001,77.04001744600001,79.868589384,82.74703296700001,86.341827149,89.32795107,85.868661972,88.13315153,85.967199815,84.73513021699999,84.303265941,82.60390968,79.794469504,88.447365609,89.222946545,89.59192139700001,87.936917866,92.00751630399999,89.889524221,89.317261331,93.444679902,88.600890361,92.35484219599999,100.72225484399999,104.226680746,105.502759188,108.113138476
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,,,,,,,,,,,,,,,,,,,791614.546295472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Sales,647457.995179842,664339.961665225,686100.473274072,655373.086001445,540764.655961464,608056.9924793399,647516.9912405601,617286.190607088,587458.943111674,610826.736630679,675996.425558676,635703.9005578,599520.0331503879,639319.3097515901,699081.243352768,666146.613829772,633192.4972275321,653240.5553632,,716958.0947988271,652492.0707075511,731803.125719554,767377.4068014721,742489.1268128911,818434.179545371,838074.83693874,737697.675001452,770636.2769783201,896809.82847008,846842.8913886979,815549.7947132341,835621.15032288,995994.5683489281,948597.996156525,912036.95958299,892783.4967211051,1052077.285348824,891276.810436848,802983.119866193,841993.822567337,1136006.973568614,935979.805773604,913851.1635294199,1006618.214910936,1295954.548395764,1192497.687101964,1136160.972244284
Other Revenues,6852.717878083,5841.255390493,6797.715655944001,6657.029595111,11282.720094576001,13115.371762699999,15587.829920235,16901.11322296,10944.564660310001,12377.061469245,19992.362164839,22224.902353999998,17251.876604004,19907.301768300003,26246.42477252,22225.32420739,18279.043981752002,24368.685101000003,29668.688276832,26217.540645639,25039.023569042,32510.887362212005,32666.253058056,28382.232307681003,34536.7308596,31622.09467878,25331.25528174,26528.078610530003,34128.978326555,35673.489821357,31950.937791639004,51710.04745968,52345.171994624005,64655.024260179,57191.908735345,64237.407641649006,64545.697713644004,127062.38001582399,71282.392707253,65737.504339616,76624.63751964,75842.362149016,65664.292801356,74635.190839404,76710.837029056,95163.488787576,79463.15677986
