S&P Capital IQ - Standard,2014 FQ2,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-09-30 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Capital Work in Progress,,2947.8,,3362.8,,8359,11159700,12373.6,12454600,13995.4,12012100,13419.4,15245100,16218,18376200,24288.9,27691700,29375.6,36655.4,44964,57983.6,27393.9,34966,32660,30394.5,30088.3
Investments Accounted for Using the Equity Method,,,,,,,,,,2307.9,,2475.6,3478200,4096.1,4133900,947,664500,793.5,777.6,900,1027.2,947.8,898.9,455.4,404.8,1088.4
Non-current Investments,270200,197.6,197500,643.7,1400,1229.4,1689300,2458.5,2454200,807.3,3185100,1126.4,1204300,1450.8,1614600,3365.2,3493200,5389.5,3976,3017.4,2545.4,2268.7,2064.7,2061.6,2261.6,1950.4
Deferred Tax Asset-net,,0.5,100500,2305.2,50900,2062.8,1618600,1677.6,2953200,1588,1805400,1832.9,1691400,1632,2416300,4526.8,4222500,2885.9,3679.8,6774.9,9829,12126.4,12033.1,12929.6,14409.2,14835.9
Non-current Investments,,197.6,197500,,,1229.4,1689300,,2454200,807.3,3185100,1126.4,,1450.8,1614600,3365.2,3493200,5389.5,,3017.4,,,,,,
Trade Receivables,,,,,,,,,,,,11.9,8500,,,,,,,,,,1732.6,1083.2,,
Deferred Tax Asset-net,,0.5,100500,,,2062.8,1618600,,2953200,1588,1805400,1832.9,,1632,2416300,4526.8,4222500,2885.9,5190,6774.9,3636.1,,,,,
Trade Receivables,,,,,,,,,,,,11.9,,,,,,,,,,,,,,
Loans and Advances,3837800,7890.4,3863200,55.3,3427400,54.5,53900,57,58300,54.4,68400,64.6,53500,58.4,66700,72.6,62100,63.2,60.9,55.7,63.8,58.3,61,67.4,71.2,75.7
Goodwill,884200,,968900,3884.6,871800,4063,4334300,4063,10891100,8165.5,8325600,8325.1,8315000,9159.4,9333600,4289,4298000,4754.2,5917.1,5960.7,5929,5951.5,6299.9,6180.2,6367.6,8001.5
