,"Jan. 1 – Dec. 31, 2025",
,"-64,696",
,,
,,
,"86,487",
,399,
,"1,813",
,,
,87,
,-636,
,"-25,799",
,,
,,
,,
,"-1,792",
,,
,"4,537",
,,
,"-5,843",
,,
,5,
,,
,256,
,"6,960",
,738,
,,
,"8,402",
,-,
,-136,
,,
,"10,783",
,"-54,153",
,,
,-737,
,-,
,7,
,"15,000",
,"2,428",
,"-37,455",
,176,
,,
,"70,000",
,,
,"-2,265",
,"-1,291",
,,
,"-11,249",
,"-1,687",
,"53,684",
,,
,"27,012",
,"41,834",
,"68,845",
