,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupin Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE: 500257 (MI KEY: 4812577; SPCIQ KEY: 9643983),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,6409700,,7975,5597700,4413,6102900,7926.6,7625.9,6818.3,10135,13941.1,9171.4,5722.1,7612.6,22148.5,8151.9,9206.3,7890.1,9913.7,8475.3,12318.1,14813.3,9832.8,11094.6,15436.9,13275.8,41677.3
Current Investments,,17400,,1764.1,8336300,16587,12452600,20.2,7962,21141.3,13151.9,2348.6,16170.4,21098.6,33571.7,23382.5,12365.7,23768.1,20193.1,8224,1899.9,4397.7,1100.4,8469.3,14984.3,10591.1,32418.7,35771.3
Trade Receivables,,19846000,,24641,27994400,26475.2,30754100,45487.6,40111.1,43073.4,48787.1,51922.1,52045.9,51498,49161.6,54459.3,47951,44743.2,43071.7,42619.4,43424.8,44807,44641.1,46920.5,51112.5,54971,62901.5,66040.6
"Current Tax Assets, Net",,,,,,10.4,,31.6,73.6,308.8,459.9,8,20.6,296.8,74.5,306.1,1985.3,56.9,123.9,385.1,159.6,367.2,373.9,406.1,386.8,346.3,286.8,14.5
Loans and Advances,,3480800,,3016.9,3706700,,4510700,,116.1,,,,,,,,,,,,,,,,,,,
Current Loans,,,,,,119.2,,185,,158.6,200.5,199,214.4,248.4,247.7,370.1,437,15.1,60.1,22.9,37,21.2,38.6,25.8,77.3,50.2,48.3,29.3
