company,period_label,period_type,period_end,statement,line_item,value,value_period,currency,units,scope,source,source_url,report_date,page,original_file,sha256,direct_derived,notes
Laboratorios Rovi,Annual_2016,Annual,2016-12-31,Income Statement,Revenue,231382,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/informe_anual_2016.pdf,2017-02-16,9,Rovi_Annual_2016_ES.pdf,6491e2f6aebfddcacf7fa8b2f615419ab84626d43011af550d747041ba605db4,direct,Parent-only Spanish GAAP; 'Importe neto de la cifra de negocios'
Laboratorios Rovi,Annual_2016,Annual,2016-12-31,Income Statement,Operating Profit,17265,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/informe_anual_2016.pdf,2017-02-16,9,Rovi_Annual_2016_ES.pdf,6491e2f6aebfddcacf7fa8b2f615419ab84626d43011af550d747041ba605db4,direct,Parent-only Spanish GAAP; 'RESULTADO DE EXPLOTACIÓN'
Laboratorios Rovi,Annual_2016,Annual,2016-12-31,Income Statement,Net Income,31842,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/informe_anual_2016.pdf,2017-02-16,9,Rovi_Annual_2016_ES.pdf,6491e2f6aebfddcacf7fa8b2f615419ab84626d43011af550d747041ba605db4,direct,Parent-only Spanish GAAP; 'RESULTADO DEL EJERCICIO'
Laboratorios Rovi,Annual_2016,Annual,2016-12-31,Balance Sheet,Total Assets,285455,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/informe_anual_2016.pdf,2017-02-16,7,Rovi_Annual_2016_ES.pdf,6491e2f6aebfddcacf7fa8b2f615419ab84626d43011af550d747041ba605db4,direct,Parent-only Spanish GAAP; 'TOTAL ACTIVO'
Laboratorios Rovi,Annual_2016,Annual,2016-12-31,Balance Sheet,Total Equity,147658,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/informe_anual_2016.pdf,2017-02-16,8,Rovi_Annual_2016_ES.pdf,6491e2f6aebfddcacf7fa8b2f615419ab84626d43011af550d747041ba605db4,direct,Parent-only Spanish GAAP; 'PATRIMONIO NETO'
Laboratorios Rovi,Annual_2016,Annual,2016-12-31,Cash Flow,Operating Cash Flow,35617,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/informe_anual_2016.pdf,2017-02-16,12,Rovi_Annual_2016_ES.pdf,6491e2f6aebfddcacf7fa8b2f615419ab84626d43011af550d747041ba605db4,direct,Parent-only Spanish GAAP; cash flows from operating activities
Laboratorios Rovi,Annual_2017,Annual,2017-12-31,Income Statement,Revenue,240560,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2017.pdf,2018-02-20,12,Rovi_Annual_2017_ENG.pdf,8ed3b58132c179c4e5a715b8ad104746beb959cd93e8d80cd27506b518d1ca1a,direct,Parent-only; 'Net sales'
Laboratorios Rovi,Annual_2017,Annual,2017-12-31,Income Statement,Operating Profit,3235,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2017.pdf,2018-02-20,12,Rovi_Annual_2017_ENG.pdf,8ed3b58132c179c4e5a715b8ad104746beb959cd93e8d80cd27506b518d1ca1a,direct,Parent-only; 'PROFIT FROM OPERATING ACTIVITIES'
Laboratorios Rovi,Annual_2017,Annual,2017-12-31,Income Statement,Net Income,18673,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2017.pdf,2018-02-20,12,Rovi_Annual_2017_ENG.pdf,8ed3b58132c179c4e5a715b8ad104746beb959cd93e8d80cd27506b518d1ca1a,direct,Parent-only; 'PROFIT FOR THE YEAR'
Laboratorios Rovi,Annual_2017,Annual,2017-12-31,Balance Sheet,Total Assets,259124,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2017.pdf,2018-02-20,10,Rovi_Annual_2017_ENG.pdf,8ed3b58132c179c4e5a715b8ad104746beb959cd93e8d80cd27506b518d1ca1a,direct,Parent-only; 'TOTAL ASSETS'
Laboratorios Rovi,Annual_2017,Annual,2017-12-31,Balance Sheet,Total Equity,155187,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2017.pdf,2018-02-20,11,Rovi_Annual_2017_ENG.pdf,8ed3b58132c179c4e5a715b8ad104746beb959cd93e8d80cd27506b518d1ca1a,direct,Parent-only; 'EQUITY' total
Laboratorios Rovi,Annual_2017,Annual,2017-12-31,Cash Flow,Operating Cash Flow,9675,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2017.pdf,2018-02-20,15,Rovi_Annual_2017_ENG.pdf,8ed3b58132c179c4e5a715b8ad104746beb959cd93e8d80cd27506b518d1ca1a,direct,Parent-only; 'Cash flows from operating activities'
Laboratorios Rovi,Annual_2018,Annual,2018-12-31,Income Statement,Revenue,291202,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2018.pdf,2019-02-26,12,Rovi_Annual_2018_ENG.pdf,d327197594ce350c2feb80855d2a19941f9618aab43a6410d0ce401543e8bfd1,direct,Parent-only; 'Net sales'
Laboratorios Rovi,Annual_2018,Annual,2018-12-31,Income Statement,Operating Profit,-1072,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2018.pdf,2019-02-26,12,Rovi_Annual_2018_ENG.pdf,d327197594ce350c2feb80855d2a19941f9618aab43a6410d0ce401543e8bfd1,direct,Parent-only; 'PROFIT/(LOSS) FROM OPERATING ACTIVITIES'
Laboratorios Rovi,Annual_2018,Annual,2018-12-31,Income Statement,Net Income,15581,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2018.pdf,2019-02-26,12,Rovi_Annual_2018_ENG.pdf,d327197594ce350c2feb80855d2a19941f9618aab43a6410d0ce401543e8bfd1,direct,Parent-only; 'PROFIT FOR THE YEAR'
Laboratorios Rovi,Annual_2018,Annual,2018-12-31,Balance Sheet,Total Assets,413960,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2018.pdf,2019-02-26,10,Rovi_Annual_2018_ENG.pdf,d327197594ce350c2feb80855d2a19941f9618aab43a6410d0ce401543e8bfd1,direct,Parent-only; 'TOTAL ASSETS'
Laboratorios Rovi,Annual_2018,Annual,2018-12-31,Balance Sheet,Total Equity,248421,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2018.pdf,2019-02-26,11,Rovi_Annual_2018_ENG.pdf,d327197594ce350c2feb80855d2a19941f9618aab43a6410d0ce401543e8bfd1,direct,Parent-only; 'EQUITY' total
Laboratorios Rovi,Annual_2018,Annual,2018-12-31,Cash Flow,Operating Cash Flow,-10114,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2018.pdf,2019-02-26,15,Rovi_Annual_2018_ENG.pdf,d327197594ce350c2feb80855d2a19941f9618aab43a6410d0ce401543e8bfd1,direct,Parent-only; 'Cash flows generated (used) in operating activities'
Laboratorios Rovi,Annual_2019,Annual,2019-12-31,Income Statement,Revenue,379221,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2019_0.pdf,2020-02-26,12,Rovi_Annual_2019_ENG.pdf,a6e5e4260187cd993d5da0b5eb776880b16034bc2e009cf78ea9aa0e3b0c080c,direct,Parent-only; 'Net sales'
Laboratorios Rovi,Annual_2019,Annual,2019-12-31,Income Statement,Operating Profit,9087,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2019_0.pdf,2020-02-26,12,Rovi_Annual_2019_ENG.pdf,a6e5e4260187cd993d5da0b5eb776880b16034bc2e009cf78ea9aa0e3b0c080c,direct,Parent-only; 'PROFIT/(LOSS) FROM OPERATING ACTIVITIES'
Laboratorios Rovi,Annual_2019,Annual,2019-12-31,Income Statement,Net Income,25553,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2019_0.pdf,2020-02-26,12,Rovi_Annual_2019_ENG.pdf,a6e5e4260187cd993d5da0b5eb776880b16034bc2e009cf78ea9aa0e3b0c080c,direct,Parent-only; 'PROFIT FOR THE YEAR'
Laboratorios Rovi,Annual_2019,Annual,2019-12-31,Balance Sheet,Total Assets,415476,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2019_0.pdf,2020-02-26,10,Rovi_Annual_2019_ENG.pdf,a6e5e4260187cd993d5da0b5eb776880b16034bc2e009cf78ea9aa0e3b0c080c,direct,Parent-only; 'TOTAL ASSETS'
Laboratorios Rovi,Annual_2019,Annual,2019-12-31,Balance Sheet,Total Equity,269329,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2019_0.pdf,2020-02-26,11,Rovi_Annual_2019_ENG.pdf,a6e5e4260187cd993d5da0b5eb776880b16034bc2e009cf78ea9aa0e3b0c080c,direct,Parent-only; 'EQUITY' total
Laboratorios Rovi,Annual_2019,Annual,2019-12-31,Cash Flow,Operating Cash Flow,-30035,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2019_0.pdf,2020-02-26,15,Rovi_Annual_2019_ENG.pdf,a6e5e4260187cd993d5da0b5eb776880b16034bc2e009cf78ea9aa0e3b0c080c,direct,Parent-only; 'Cash flows generated (used) in operating activities'
Laboratorios Rovi,Annual_2020,Annual,2020-12-31,Income Statement,Revenue,459424,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2020.pdf,2021-02-24,12,Rovi_Annual_2020_ENG.pdf,e8fca0a451bc31af658673d889d546026a0cbb288f3cdb4c271e3bf18a22bd5d,direct,Parent-only; 'Net sales'
Laboratorios Rovi,Annual_2020,Annual,2020-12-31,Income Statement,Operating Profit,45246,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2020.pdf,2021-02-24,12,Rovi_Annual_2020_ENG.pdf,e8fca0a451bc31af658673d889d546026a0cbb288f3cdb4c271e3bf18a22bd5d,direct,Parent-only; 'PROFIT/(LOSS) FROM OPERATING ACTIVITIES'
Laboratorios Rovi,Annual_2020,Annual,2020-12-31,Income Statement,Net Income,71137,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2020.pdf,2021-02-24,12,Rovi_Annual_2020_ENG.pdf,e8fca0a451bc31af658673d889d546026a0cbb288f3cdb4c271e3bf18a22bd5d,direct,Parent-only; 'PROFIT FOR THE YEAR'
Laboratorios Rovi,Annual_2020,Annual,2020-12-31,Balance Sheet,Total Assets,555527,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2020.pdf,2021-02-24,10,Rovi_Annual_2020_ENG.pdf,e8fca0a451bc31af658673d889d546026a0cbb288f3cdb4c271e3bf18a22bd5d,direct,Parent-only; 'TOTAL ASSETS'
Laboratorios Rovi,Annual_2020,Annual,2020-12-31,Balance Sheet,Total Equity,330686,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2020.pdf,2021-02-24,11,Rovi_Annual_2020_ENG.pdf,e8fca0a451bc31af658673d889d546026a0cbb288f3cdb4c271e3bf18a22bd5d,direct,Parent-only; 'EQUITY' total
Laboratorios Rovi,Annual_2020,Annual,2020-12-31,Cash Flow,Operating Cash Flow,13905,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2020.pdf,2021-02-24,15,Rovi_Annual_2020_ENG.pdf,e8fca0a451bc31af658673d889d546026a0cbb288f3cdb4c271e3bf18a22bd5d,direct,Parent-only; 'Cash flows generated (used) in operating activities'
Laboratorios Rovi,Annual_2021,Annual,2021-12-31,Income Statement,Revenue,509920,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2021_0.pdf,2022-02-23,12,Rovi_Annual_2021_ENG.pdf,ca27ee630b7fa93648699d5ef8ebf3695c5d5e682f024b1e0c6b5e349c7915f8,direct,Parent-only; 'Net sales'
Laboratorios Rovi,Annual_2021,Annual,2021-12-31,Income Statement,Operating Profit,32002,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2021_0.pdf,2022-02-23,12,Rovi_Annual_2021_ENG.pdf,ca27ee630b7fa93648699d5ef8ebf3695c5d5e682f024b1e0c6b5e349c7915f8,direct,Parent-only; 'PROFIT/(LOSS) FROM OPERATING ACTIVITIES'
Laboratorios Rovi,Annual_2021,Annual,2021-12-31,Income Statement,Net Income,65143,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2021_0.pdf,2022-02-23,12,Rovi_Annual_2021_ENG.pdf,ca27ee630b7fa93648699d5ef8ebf3695c5d5e682f024b1e0c6b5e349c7915f8,direct,Parent-only; 'PROFIT FOR THE YEAR'
Laboratorios Rovi,Annual_2021,Annual,2021-12-31,Balance Sheet,Total Assets,478099,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2021_0.pdf,2022-02-23,10,Rovi_Annual_2021_ENG.pdf,ca27ee630b7fa93648699d5ef8ebf3695c5d5e682f024b1e0c6b5e349c7915f8,direct,Parent-only; 'TOTAL ASSETS'
Laboratorios Rovi,Annual_2021,Annual,2021-12-31,Balance Sheet,Total Equity,339631,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2021_0.pdf,2022-02-23,11,Rovi_Annual_2021_ENG.pdf,ca27ee630b7fa93648699d5ef8ebf3695c5d5e682f024b1e0c6b5e349c7915f8,direct,Parent-only; 'EQUITY' total
Laboratorios Rovi,Annual_2021,Annual,2021-12-31,Cash Flow,Operating Cash Flow,64680,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/annual_financial_report_2021_0.pdf,2022-02-23,15,Rovi_Annual_2021_ENG.pdf,ca27ee630b7fa93648699d5ef8ebf3695c5d5e682f024b1e0c6b5e349c7915f8,direct,Parent-only; 'Cash flows generated (used) in operating activities'
Laboratorios Rovi,Annual_2022,Annual,2022-12-31,Income Statement,Revenue,591117,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2022.pdf,2023-02-21,13,Rovi_Annual_2022_ES.pdf,5773ee33c5808595832826cd36c30ca32bf7874e58c5d640106b947da7bf90b5,direct,Parent-only Spanish GAAP; 'Importe neto de la cifra de negocios'
Laboratorios Rovi,Annual_2022,Annual,2022-12-31,Income Statement,Operating Profit,41951,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2022.pdf,2023-02-21,13,Rovi_Annual_2022_ES.pdf,5773ee33c5808595832826cd36c30ca32bf7874e58c5d640106b947da7bf90b5,direct,Parent-only Spanish GAAP; 'RESULTADO DE EXPLOTACIÓN'
Laboratorios Rovi,Annual_2022,Annual,2022-12-31,Income Statement,Net Income,39116,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2022.pdf,2023-02-21,13,Rovi_Annual_2022_ES.pdf,5773ee33c5808595832826cd36c30ca32bf7874e58c5d640106b947da7bf90b5,direct,Parent-only Spanish GAAP; 'RESULTADO DEL EJERCICIO'
Laboratorios Rovi,Annual_2022,Annual,2022-12-31,Balance Sheet,Total Assets,485641,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2022.pdf,2023-02-21,11,Rovi_Annual_2022_ES.pdf,5773ee33c5808595832826cd36c30ca32bf7874e58c5d640106b947da7bf90b5,direct,Parent-only Spanish GAAP; 'TOTAL ACTIVO'
Laboratorios Rovi,Annual_2022,Annual,2022-12-31,Balance Sheet,Total Equity,228092,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2022.pdf,2023-02-21,12,Rovi_Annual_2022_ES.pdf,5773ee33c5808595832826cd36c30ca32bf7874e58c5d640106b947da7bf90b5,direct,Parent-only Spanish GAAP; 'PATRIMONIO NETO'
Laboratorios Rovi,Annual_2022,Annual,2022-12-31,Cash Flow,Operating Cash Flow,131144,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2022.pdf,2023-02-21,16,Rovi_Annual_2022_ES.pdf,5773ee33c5808595832826cd36c30ca32bf7874e58c5d640106b947da7bf90b5,direct,Parent-only Spanish GAAP; cash flows from operating activities
Laboratorios Rovi,Annual_2023,Annual,2023-12-31,Income Statement,Revenue,575661,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2023.pdf,2024-02-27,13,Rovi_Annual_2023_ES.pdf,068611d8442f7dfb1cd5cd23d126eea396082d62264ce2a39ef8cd9d161749b6,direct,Parent-only Spanish GAAP; 'Importe neto de la cifra de negocios'
Laboratorios Rovi,Annual_2023,Annual,2023-12-31,Income Statement,Operating Profit,9872,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2023.pdf,2024-02-27,13,Rovi_Annual_2023_ES.pdf,068611d8442f7dfb1cd5cd23d126eea396082d62264ce2a39ef8cd9d161749b6,direct,Parent-only Spanish GAAP; 'RESULTADO DE EXPLOTACIÓN'
Laboratorios Rovi,Annual_2023,Annual,2023-12-31,Income Statement,Net Income,12071,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2023.pdf,2024-02-27,13,Rovi_Annual_2023_ES.pdf,068611d8442f7dfb1cd5cd23d126eea396082d62264ce2a39ef8cd9d161749b6,direct,Parent-only Spanish GAAP; 'RESULTADO DEL EJERCICIO'
Laboratorios Rovi,Annual_2023,Annual,2023-12-31,Balance Sheet,Total Assets,464378,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2023.pdf,2024-02-27,11,Rovi_Annual_2023_ES.pdf,068611d8442f7dfb1cd5cd23d126eea396082d62264ce2a39ef8cd9d161749b6,direct,Parent-only Spanish GAAP; 'TOTAL ACTIVO'
Laboratorios Rovi,Annual_2023,Annual,2023-12-31,Balance Sheet,Total Equity,89322,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2023.pdf,2024-02-27,12,Rovi_Annual_2023_ES.pdf,068611d8442f7dfb1cd5cd23d126eea396082d62264ce2a39ef8cd9d161749b6,direct,Parent-only Spanish GAAP; 'PATRIMONIO NETO'
Laboratorios Rovi,Annual_2023,Annual,2023-12-31,Cash Flow,Operating Cash Flow,54204,FY,EUR,thousand,parent,primary_source_pdf,https://www.rovi.es/sites/default/files/03._informe_financiero_anual_2023.pdf,2024-02-27,16,Rovi_Annual_2023_ES.pdf,068611d8442f7dfb1cd5cd23d126eea396082d62264ce2a39ef8cd9d161749b6,direct,Parent-only Spanish GAAP; cash flows from operating activities
