,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cipla Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: CIPLA (MI KEY: 4812354; SPCIQ KEY: 882504),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,1740500,,1757600,2100900,5458400,3551500,8581500,8402800,6103500,7890400,8534600,8988700,5083600,6398500,7423800,6376400,7932900,5285800,6777400,6867500,6276300,7998400,6400700,7978000,5886900,7621300,10182200
Bank Balances Other Than Cash and Cash Equivalents,,,,,,184200,,132500,,138600,181500,1121500,101900,1104500,4623700,2615300,3974600,6079400,9281200,12507400,11478300,9369900,3800700,2349000,1236400,2111500,337200,2892000
Investments,,2930000,,3114300,14477400,3904000,2960200,5823400,7426900,8373900,15611000,11022100,15467600,21257900,11251600,10165200,25998100,22863700,21119600,21949700,23509400,30898600,37107800,48070100,43189400,72932300,75394800,76794200
Trade Receivables,,17646600,,16388900,16829300,19281600,25517300,23562700,25519900,25630500,32990200,31024500,39711800,41507200,39196800,38913100,36939200,34456800,35049500,34244400,39691300,40570000,48498000,47706600,55875600,55063700,69022600,56200500
Loans,,,,,,115200,,109200,,95300,,199100,,62800,,56000,,10000,,35700,,75900,,2400,,156400,,231200
Loans and Advances,,6115500,,5954900,6629800,,8805100,,2763700,,87800,,70300,,60300,,33800,,4500,,46700,,3000,,2000,,180200,
