date,Open,High,Low,Close,Volume,adjusted_close,Company,Country,Ticker,__period__,company
2014-12-31 00:00:00,77.20833587646484,92.26666259765625,67.98332977294922,70.92500305175781,1496454066,68.25973510742188,Biocon,India,BIOCON.NS,2014-12-31,Biocon
2015-12-31 00:00:00,70.70833587646484,87.125,65.88333129882812,86.3499984741211,884941812,83.969970703125,Biocon,India,BIOCON.NS,2015-12-31,Biocon
2016-12-31 00:00:00,86.82499694824219,170.0,71.83333587646484,158.3083343505859,1434946590,155.5864868164062,Biocon,India,BIOCON.NS,2016-12-31,Biocon
2017-12-31 00:00:00,157.7666625976562,274.3500061035156,147.5166625976562,268.6499938964844,1419744140,264.6657409667969,Biocon,India,BIOCON.NS,2017-12-31,Biocon
2018-12-31 00:00:00,270.0750122070312,359.0,262.625,314.5249938964844,1227686392,310.3912048339844,Biocon,India,BIOCON.NS,2018-12-31,Biocon
2019-12-31 00:00:00,315.7250061035156,341.2250061035156,211.0500030517578,293.7000122070312,878776370,290.3921508789062,Biocon,India,BIOCON.NS,2019-12-31,Biocon
2020-12-31 00:00:00,294.0,487.75,235.5500030517578,465.3999938964844,1459395320,460.1583862304688,Biocon,India,BIOCON.NS,2020-12-31,Biocon
2021-12-31 00:00:00,466.0,474.3500061035156,314.7999877929688,364.6499938964844,821582267,360.5431213378906,Biocon,India,BIOCON.NS,2021-12-31,Biocon
2022-12-31 00:00:00,364.6499938964844,410.7000122070312,258.25,261.8500061035156,613301043,259.3188781738281,Biocon,India,BIOCON.NS,2022-12-31,Biocon
2023-12-31 00:00:00,261.8500061035156,279.8999938964844,191.5500030517578,249.6499938964844,982707272,248.6742248535156,Biocon,India,BIOCON.NS,2023-12-31,Biocon
2024-12-31 00:00:00,249.8000030517578,395.7999877929688,244.5500030517578,365.3500061035156,1558567209,364.4263610839844,Biocon,India,BIOCON.NS,2024-12-31,Biocon
2025-12-31 00:00:00,366.8999938964844,424.9500122070312,291.0,393.8999938964844,946503073,393.4295043945312,Biocon,India,BIOCON.NS,2025-12-31,Biocon
2026-12-31 00:00:00,393.0,447.1499938964844,337.7000122070312,415.5499877929688,644337228,415.5499877929688,Biocon,India,BIOCON.NS,2026-12-31,Biocon
2014-12-31 00:00:00,279.4400024414062,361.9299926757812,270.6199951171875,339.4500122070312,368504900,339.4500122070312,Biogen,USA,BIIB,2014-12-31,Biocon
2015-12-31 00:00:00,342.8399963378906,480.1799926757812,254.0,306.3500061035156,551679600,306.3500061035156,Biogen,USA,BIIB,2015-12-31,Biocon
2016-12-31 00:00:00,300.3399963378906,333.6499938964844,223.0200042724609,283.5799865722656,458729900,283.5799865722656,Biogen,USA,BIIB,2016-12-31,Biocon
