,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strides Pharma Science Limited | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: STAR (MI KEY: 4810993; SPCIQ KEY: 1507410),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1,2026 FQ2,2026 FQ3,2026 FQ4
Period Ended,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Operations,,,,,,,,9243200,7895200,8719600,7297800,6771300,6577800,7686600,7487900,6698900,4726900,5196100,5698900,6161800,6857.99,7150.91,7324.35,6186.44,7817.97,7935.58,8320.22,9084.93,6883.66,7214.73,7943.93,8660.18,9400.74,8970.97,8648.46,9863.7,9299.94,9994.27,10057.73,10435.02,10543.41,11669.34,11536.67,11903.93,11197.36,12208.31,11946.46,13234.7
Net Sales/income from Operations (Net of Excise Duty),2410612,2652346,3143739,3078267,5840000,3508841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales/income from Operations (inclusive of Excise Duty),,,,,,,8336500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income,132352,217426,44187,279567,290400,191222,338900,278400,207800,545800,221800,623900,344600,221400,156600,154300,47600,98500,96500,165800,102.53,129.87,122.22,176.51,123.05,128.71,132.03,130.48,135.32,222.1,101.89,860.57,135.48,234.59,262,271.21,86.45,358.48,87.54,-135.46,127.16,284.11,56.16,119.79,85.83,271.4,1068.62,81.28
Total Revenues,2542964,2869772,3187926,3357834,6130400,3700063,8675400,9521600,8103000,9265400,7519600,7395200,6922400,7908000,7644500,6853200,4774500,5294600,5795400,6327600,6960.52,7280.78,7446.57,6362.95,7941.02,8064.29,8452.25,9215.41,7018.98,7436.83,8045.82,9520.75,9536.22,9205.56,8910.46,10134.91,9386.39,10352.75,10145.27,10299.56,10670.57,11953.45,11592.83,12023.72,11283.19,12479.71,13015.08,13315.98
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Materials Consumed,-1193896,-1161354,-1430523,-1301104,-2944900,-1482782,-3610500,-4475200,-2471000,-2598900,-2279600,-1604400,-2296800,-2350300,-1619400,-2208500,-2761300,-2600300,-1966700,-2692200,-3091.61,-2579.89,-2775.38,-1756.61,-2766.94,-3215.32,-3894.32,-4027.65,-3169.28,-2872.31,-3175.91,-1691.82,-4926.95,-3726.86,-3078.95,-2684.05,-2698.46,-3423.03,-2923.56,-3140.59,-3204.33,,-4765.8,-2697.32,-2605.8,,-4597.07,-4088.76
Purchase of Stock in Trade,-171763,-200079,-79498,-208152,-348400,-302719,-739000,-1188800,-1656200,-1584000,-1908900,-1243300,-1058700,-1045000,-1193700,-1094100,-75000,-536900,-824500,-435100,-382.33,-335.37,-388.26,-363.4,-440.39,-619.67,-743.12,-1157.58,-607.8,-840.16,-539.13,-1173.97,-593.14,-123.06,-476.63,-685.87,-565.03,-636.4,-1757.97,-1489.22,-1496.74,,-1337.73,-2315.97,-1209.13,,-713.77,-1274.46
(B)purchases of Stock in Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1730.38,,,,-418,,
(A)cost of Materials Consumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4091.47,,,,-4297.56,,
"Changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",135872,58313,-90151,37516,234900,16361,77000,817300,397800,443500,745700,-68000,-152600,-466300,-677700,374700,269700,539200,-10900,242000,315.4,-73.7,552.93,-346.52,184.78,750.51,1131.69,1470.08,286.34,465.82,-295.95,-1409,804.07,-20.95,-119.39,-637.07,-585.97,-121.49,-5.9,307,202.51,,1302.29,23.62,-627.9,,681.43,0.77
"(C)changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.64,,,,-437.05,,
Employee Benefit Expense,-392627,-389707,-412809,-525468,-1075900,-550432,-1318200,-1047000,-1282200,-1555600,-1123500,-1099700,-1031000,-1124500,-1131500,-1053500,-773800,-907100,-780800,-832600,-971.25,-1097.05,-1116.38,-1240.9,-1297.83,-1383.14,-1283.5,-1537,-1613.57,-1483.55,-1799.43,-1572.54,-1836.6,-1916.91,-1810.11,-1756.61,-1675.32,-1999.3,-1804.19,-1942.6,-2085.53,-2156.98,-2156.43,-2228.64,-2255.18,-2267.81,-2295.44,-2471.14
G Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2156.11,,,,-2472.22,,
Depreciation and Amortization Expenses,-140246,-146788,-158586,-194700,-318200,-211190,-402300,-393400,-423500,-443800,-308700,-376900,-344900,-372500,-379500,-443400,-290100,-308600,-278700,-296500,-428.91,-419.99,-434.67,-453.4,-491.32,-527.9,-525.09,-518.56,-548.83,-565.59,-608.96,-606.76,-604,-617.02,-602.21,-609.29,-595.9,-601.05,-494.44,-479.35,-465.23,,-484.24,-488.6,-488.86,,-506.23,-532.49
(F) Depreciation and Amortization Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-484.53,,,,-496.43,,
Reversal of Provision for Impairment of Fixed Assets,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write-off/provision of Assets (net),,,,-9000,,,,-65300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Income(Loss) from Equity Investments, Pre-tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.58,,,,-10.48,,
Share of Profit/loss of Joint Ventures and Associates,,,,,,,,-1500,-1000,-1000,-1300,6900,-30600,-53000,-32300,-52100,-69700,-115400,-68700,-203200,-178.08,-212.52,-233.89,-447.8,-209.6,-301.22,-269.15,-198.22,-195.26,-233.73,-242.75,-436.38,-563.91,-448.38,-1434.53,-406.01,,,,,,,,,,,,
"Share of Loss of Joint Ventures and Associates, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-329.29,-422.54,,,,,,,,,,
