date,Open,High,Low,Close,adjusted_close,Volume,Company,Ticker,Country,__period__,company
2014-01-31,279.4400024414062,321.25,270.6199951171875,312.6400146484375,312.6400146484375,31039900,Biogen,BIIB,USA,2014-01-31,Biogen
2014-02-28,314.8399963378906,353.4700012207031,294.0199890136719,340.6799926757812,340.6799926757812,27912100,Biogen,BIIB,USA,2014-02-28,Biogen
2014-03-31,340.6799926757812,358.8900146484375,292.6700134277344,305.8699951171875,305.8699951171875,40173600,Biogen,BIIB,USA,2014-03-31,Biogen
2014-04-30,308.4200134277344,317.0,272.0199890136719,287.1199951171875,287.1199951171875,41953100,Biogen,BIIB,USA,2014-04-30,Biogen
2014-05-31,287.1099853515625,322.25,278.1000061035156,319.3699951171875,319.3699951171875,25217700,Biogen,BIIB,USA,2014-05-31,Biogen
2014-06-30,318.9299926757812,322.0499877929688,302.010009765625,315.3099975585938,315.3099975585938,20471700,Biogen,BIIB,USA,2014-06-30,Biogen
2014-07-31,317.0299987792969,349.0,298.3099975585938,334.3900146484375,334.3900146484375,28967400,Biogen,BIIB,USA,2014-07-31,Biogen
2014-08-31,332.9299926757812,348.489990234375,317.0,343.0400085449219,343.0400085449219,20935300,Biogen,BIIB,USA,2014-08-31,Biogen
2014-09-30,345.4700012207031,347.7900085449219,315.7099914550781,330.8099975585938,330.8099975585938,22151600,Biogen,BIIB,USA,2014-09-30,Biogen
2014-10-31,330.9700012207031,331.1499938964844,290.8500061035156,321.0799865722656,321.0799865722656,39377500,Biogen,BIIB,USA,2014-10-31,Biogen
2014-11-30,320.7799987792969,330.3699951171875,297.8299865722656,307.6900024414062,307.6900024414062,26192100,Biogen,BIIB,USA,2014-11-30,Biogen
2014-12-31,306.4299926757812,361.9299926757812,306.1099853515625,339.4500122070312,339.4500122070312,44112900,Biogen,BIIB,USA,2014-12-31,Biogen
2015-01-31,342.8399963378906,397.0,334.3999938964844,389.1600036621094,389.1600036621094,39420300,Biogen,BIIB,USA,2015-01-31,Biogen
2015-02-28,389.0299987792969,412.0199890136719,381.3599853515625,409.5899963378906,409.5899963378906,26301100,Biogen,BIIB,USA,2015-02-28,Biogen
2015-03-31,410.6700134277344,480.1799926757812,406.0199890136719,422.239990234375,422.239990234375,52474600,Biogen,BIIB,USA,2015-03-31,Biogen
2015-04-30,423.2000122070312,432.8800048828125,368.8800048828125,373.9299926757812,373.9299926757812,45438800,Biogen,BIIB,USA,2015-04-30,Biogen
2015-05-31,377.5199890136719,404.0,377.5199890136719,396.989990234375,396.989990234375,26965100,Biogen,BIIB,USA,2015-05-31,Biogen
2015-06-30,398.8699951171875,420.989990234375,378.0,403.9400024414062,403.9400024414062,28664200,Biogen,BIIB,USA,2015-06-30,Biogen
2015-07-31,408.3200073242188,412.239990234375,299.760009765625,318.7799987792969,318.7799987792969,67088900,Biogen,BIIB,USA,2015-07-31,Biogen
2015-08-31,320.3299865722656,338.510009765625,265.0,297.2999877929688,297.2999877929688,55781800,Biogen,BIIB,USA,2015-08-31,Biogen
2015-09-30,292.2200012207031,330.5400085449219,267.0,291.8099975585938,291.8099975585938,56790600,Biogen,BIIB,USA,2015-09-30,Biogen
2015-10-31,291.989990234375,299.4100036621094,254.0,290.510009765625,290.510009765625,82718000,Biogen,BIIB,USA,2015-10-31,Biogen
2015-11-30,294.5199890136719,304.3699951171875,278.2799987792969,286.8599853515625,286.8599853515625,37004500,Biogen,BIIB,USA,2015-11-30,Biogen
2015-12-31,289.2999877929688,311.6499938964844,274.2300109863281,306.3500061035156,306.3500061035156,33031700,Biogen,BIIB,USA,2015-12-31,Biogen
2016-01-31,300.3399963378906,301.0199890136719,257.6600036621094,273.0599975585938,273.0599975585938,44372900,Biogen,BIIB,USA,2016-01-31,Biogen
2016-02-29,270.3399963378906,279.3800048828125,242.0700073242188,259.4200134277344,259.4200134277344,38093600,Biogen,BIIB,USA,2016-02-29,Biogen
2016-03-31,261.3699951171875,274.5700073242188,242.25,260.3200073242188,260.3200073242188,36339700,Biogen,BIIB,USA,2016-03-31,Biogen
2016-04-30,258.8299865722656,286.3200073242188,257.5,274.989990234375,274.989990234375,39320800,Biogen,BIIB,USA,2016-04-30,Biogen
2016-05-31,274.739990234375,291.6300048828125,256.4200134277344,289.7300109863281,289.7300109863281,28358600,Biogen,BIIB,USA,2016-05-31,Biogen
2016-06-30,287.9700012207031,292.6900024414062,223.0200042724609,241.8200073242188,241.8200073242188,53148000,Biogen,BIIB,USA,2016-06-30,Biogen
2016-07-31,242.5700073242188,290.9200134277344,240.0700073242188,289.9299926757812,289.9299926757812,37015400,Biogen,BIIB,USA,2016-07-31,Biogen
2016-08-31,300.0,333.6499938964844,297.6600036621094,305.6300048828125,305.6300048828125,43385700,Biogen,BIIB,USA,2016-08-31,Biogen
2016-09-30,307.9599914550781,318.8800048828125,293.8299865722656,313.0299987792969,313.0299987792969,30244900,Biogen,BIIB,USA,2016-09-30,Biogen
2016-10-31,313.0,314.0,279.2300109863281,280.1799926757812,280.1799926757812,29027000,Biogen,BIIB,USA,2016-10-31,Biogen
