date,Open,High,Low,adjusted_close,Volume,Dividends,Stock Splits,__period__,company,Close,Company,Country,Ticker
2002-07-01,3.3321155355211136,3.3321155355211136,3.253712532524879,3.263513565063477,121668,0.0,0.0,2002-07-01,Ajanta Pharma,,,,
2002-07-02,3.2798475546659547,3.2798475546659547,3.240645524801172,3.250446557998657,85218,0.0,0.0,2002-07-02,Ajanta Pharma,,,,
2002-07-03,3.266780044602809,3.3582495704129407,3.2471790313720703,3.2471790313720703,75127,0.0,0.0,2002-07-03,Ajanta Pharma,,,,
2002-07-04,3.266780108593005,3.2994472963258046,3.2341125703727025,3.263513565063477,253327,0.0,0.0,2002-07-04,Ajanta Pharma,,,,
2002-07-05,3.27331395187512,3.27331395187512,3.2341129712491967,3.2569801807403564,111656,0.0,0.0,2002-07-05,Ajanta Pharma,,,,
2002-07-08,3.299447414892562,3.567323971727803,3.299447414892562,3.5150554180145264,76635,0.0,0.0,2002-07-08,Ajanta Pharma,,,,
2002-07-09,3.577123788352659,3.7241291108039674,3.528122832006389,3.59019136428833,224808,0.0,0.0,2002-07-09,Ajanta Pharma,,,,
2002-07-10,3.5934578848669783,3.5934578848669783,3.4301191290690687,3.4497201442718506,165543,0.0,0.0,2002-07-10,Ajanta Pharma,,,,
2002-07-11,3.430119037628174,3.430119037628174,3.37131704504998,3.430119037628174,18675,0.0,0.0,2002-07-11,Ajanta Pharma,,,,
2002-07-12,3.4333851127481374,3.4562523128584006,3.4137841047448507,3.4431850910186768,53145,0.0,0.0,2002-07-12,Ajanta Pharma,,,,
2002-07-15,3.430119318805694,3.430119318805694,3.29618155267191,3.34191632270813,69311,0.0,0.0,2002-07-15,Ajanta Pharma,,,,
2002-07-16,3.348449304631265,3.364783073741416,3.253712532524879,3.263513565063477,62831,0.0,0.0,2002-07-16,Ajanta Pharma,,,,
2002-07-17,3.253713307140749,3.253713307140749,3.2047123386320724,3.2243123054504395,60165,0.0,0.0,2002-07-17,Ajanta Pharma,,,,
2002-07-18,3.3321159828609668,3.524856096478817,3.3321159828609668,3.364783525466919,85623,0.0,0.0,2002-07-18,Ajanta Pharma,,,,
2002-07-19,3.381117714509397,3.495454805027334,3.3092484959191824,3.325582265853882,109293,0.0,0.0,2002-07-19,Ajanta Pharma,,,,
2002-07-22,3.315781130298081,3.332114896274697,3.207977153292624,3.2275781631469727,61368,0.0,0.0,2002-07-22,Ajanta Pharma,,,,
2002-07-23,3.266781182636037,3.266781182636037,3.1655105892001303,3.2047126293182373,63000,0.0,0.0,2002-07-23,Ajanta Pharma,,,,
2002-07-24,3.201444744775624,3.207978183166246,3.136108958919209,3.178577184677124,89493,0.0,0.0,2002-07-24,Ajanta Pharma,,,,
2002-07-25,3.1851103035036754,3.253712268392284,2.972769569871767,3.080573558807373,97290,0.0,0.0,2002-07-25,Ajanta Pharma,,,,
2002-07-26,2.9531691909119133,3.1295755330393984,2.9531691909119133,2.9956374168396,69356,0.0,0.0,2002-07-26,Ajanta Pharma,,,,
2002-07-29,2.972770316249942,2.972770316249942,2.86496630024781,2.936835527420044,14422,0.0,0.0,2002-07-29,Ajanta Pharma,,,,
2002-07-30,2.943368697519116,3.0642392149254603,2.8747665545910195,2.878032922744751,84206,0.0,0.0,2002-07-30,Ajanta Pharma,,,,
2002-07-31,2.9401026761801368,2.972770218880433,2.829031418756394,2.8747670650482178,107988,0.0,0.0,2002-07-31,Ajanta Pharma,,,,
2002-08-01,2.874767141821359,2.985837525992454,2.858432493816102,2.923768281936645,63292,0.0,0.0,2002-08-01,Ajanta Pharma,,,,
2002-08-02,2.8747664319577613,2.9303011722207124,2.8747664319577613,2.910701036453247,63562,0.0,0.0,2002-08-02,Ajanta Pharma,,,,
2002-08-05,2.9401027165909626,3.005437802889566,2.8943672449142945,2.913968086242676,106425,0.0,0.0,2002-08-05,Ajanta Pharma,,,,
2002-08-06,2.920501077619428,2.940102090014338,2.8911000847582824,2.9335684776306152,52256,0.0,0.0,2002-08-06,Ajanta Pharma,,,,
2002-08-07,3.0054369597700408,3.0054369597700408,2.9401018917999773,2.943368434906006,54675,0.0,0.0,2002-08-07,Ajanta Pharma,,,,
2002-08-08,3.00217068452355,3.00217068452355,2.8747665545910195,2.878032922744751,72562,0.0,0.0,2002-08-08,Ajanta Pharma,,,,
2002-08-09,2.874766935350685,2.874766935350685,2.8094311519226696,2.8453657627105717,59962,0.0,0.0,2002-08-09,Ajanta Pharma,,,,
2002-08-12,2.940102500814468,2.940102500814468,2.878033262118461,2.904167890548706,70290,0.0,0.0,2002-08-12,Ajanta Pharma,,,,
2002-08-13,2.9891034594711794,2.9891034594711794,2.871499310218565,2.878032922744751,39318,0.0,0.0,2002-08-13,Ajanta Pharma,,,,
2002-08-14,2.8780332046788226,2.920501427393626,2.8682330477951314,2.881300449371338,71178,0.0,0.0,2002-08-14,Ajanta Pharma,,,,
