Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-15 00:00:00+05:30,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,4.247047424316406,2000,0.0,0.0
1996-01-16 00:00:00+05:30,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,4.247047424316406,2000,0.0,0.0
1996-01-17 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,2000,0.0,0.0
1996-01-18 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-19 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-22 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-23 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-24 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-25 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-26 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-29 00:00:00+05:30,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,4.205814838409424,0,0.0,0.0
1996-01-30 00:00:00+05:30,5.099999904632568,5.099999904632568,4.75,4.75,3.917180299758911,4000,0.0,0.0
1996-01-31 00:00:00+05:30,4.75,4.75,4.75,4.75,3.917180299758911,0,0.0,0.0
1996-02-01 00:00:00+05:30,4.75,4.75,4.75,4.75,3.917180299758911,0,0.0,0.0
1996-02-02 00:00:00+05:30,4.75,4.75,4.75,4.75,3.917180299758911,0,0.0,0.0
1996-02-05 00:00:00+05:30,4.40500020980835,4.40500020980835,4.400000095367432,4.400000095367432,3.6285455226898193,8000,0.0,0.0
