Other Operating Income,690000,360000,250000,180000,220000,140000,120000,200000,610000,360000,240000,260000,380000,230000,300000,530000,260000,280000,290000,420000,380000,360000,1030000,340000,460000,370000,420000,340000,420000,320000,230000,220000,140000,340000,160000,270000,550000,300000,320000,390000,430000,320000,410000,500000,440000,580000,470000,500000,500000,560000,520000,690000
Total Revenues,9720000,9720000,10150000,12250000,11140000,12170000,11680000,11540000,19470000,16930000,15420000,15270000,15770000,14720000,14930000,15380000,14670000,14950000,15370000,17500000,18990000,19040000,20540000,18730000,20420000,20390000,20190000,19610000,20600000,20230000,20030000,19760000,21740000,21880000,21560000,21870000,23770000,23070000,24810000,25000000,26250000,26860000,26990000,27760000,28830000,28730000,28420000,29410000,31410000,32750000,32900000,41800000
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw/packing Material and Purchase of Traded Goods,-2130000,-2140000,-2280000,-2230000,-2010000,-2690000,-2530000,-2510000,-2640000,-2600000,-2810000,-2420000,-3430000,-2980000,-3090000,-2300000,-2500000,-1810000,-2600000,-3480000,-3240000,-2710000,-3350000,-3600000,-3760000,-3310000,-3390000,-3310000,-3450000,-3640000,-3650000,-3470000,-4080000,-3690000,-3640000,-3970000,-3920000,-3500000,-3500000,-3880000,-4350000,-4330000,-3790000,-4100000,,,,,,,,
Purchase of Traded Goods,-1120000,-1020000,-860000,-1140000,-1190000,-1340000,-1300000,-1190000,-1620000,-1490000,-1730000,-1940000,-1820000,-2120000,-1720000,-1850000,-2000000,-1880000,-3190000,-2900000,-2480000,-2380000,-2160000,-1440000,-2100000,-2100000,-2240000,-2790000,-2830000,-2730000,-2260000,-2230000,-2060000,-1960000,-1950000,-2340000,-2460000,-2250000,-3500000,-2680000,-2500000,-2920000,-3270000,-3150000,,,,,,,,
(B)purchases of Stock in Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3130000,-3820000,-4200000,-4160000,-3380000,-3820000,-4220000,-4770000
(A)cost of Materials Consumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3370000,,-4020000,,-3820000,,-5660000
Expenses a Cost of Materials Consumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4110000,,-3700000,,-3960000,,-4140000,
Changes in Inventory (Expense Block),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,,,,-360000,,
"Changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",260000,150000,-40000,170000,190000,220000,110000,90000,80000,330000,820000,250000,880000,1090000,170000,-750000,490000,-490000,1870000,1750000,140000,-390000,-290000,-290000,270000,30000,210000,820000,930000,830000,290000,740000,260000,-300000,-790000,90000,-220000,-660000,-300000,-480000,350000,650000,90000,460000,300000,,,,-400000,,,
"(C)changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170000,870000,,,370000,280000
Personnel Costs,-1720000,-1820000,-1790000,-2080000,-1840000,-2240000,-1990000,-2350000,-2070000,-2070000,-2010000,-2270000,-2520000,-2590000,-2330000,-2490000,-2630000,-2830000,-2720000,-3170000,-3460000,-3430000,-3680000,-3470000,-3810000,-3580000,-3540000,-3360000,-3730000,-3630000,-3630000,-3410000,-3850000,-3890000,-3880000,-3640000,-4200000,-3940000,-4230000,-4410000,-4990000,-5030000,-4960000,-4860000,,,,,,,,
Employee Salaries and Other Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5500000,,,,-6050000,,,
(D) Employee Benefits Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5430000,-5490000,-5610000,,-6270000,-6510000,-7880000
Other Expenditure,-2930000,-3100000,-3030000,-3470000,-2840000,-3390000,-3570000,-3960000,-4100000,-3930000,-3510000,-3780000,-4250000,-4390000,-4300000,-4000000,-4010000,-3870000,-4400000,-5640000,-4910000,-5300000,-5420000,-5030000,-5410000,-5680000,-5300000,-5340000,-4870000,-4650000,-4630000,-5180000,-4840000,-4930000,-5440000,-5840000,-5550000,-5770000,-6140000,-6190000,-6510000,-6720000,-6700000,-6970000,-7110000,-7290000,-6730000,-7030000,-7670000,-7920000,-7650000,-10380000
Depreciation and Amortization,-210000,-220000,-210000,-230000,-210000,-560000,-540000,-600000,-570000,-590000,-590000,-630000,-680000,-690000,-730000,-970000,-800000,-840000,-940000,-1510000,-1500000,-1520000,-1560000,-1600000,-1600000,-1630000,-1630000,-1680000,-1610000,-1650000,-1670000,-1650000,-1650000,-1680000,-1670000,-1620000,-1550000,-1630000,-1930000,-1960000,-1910000,-2010000,-2130000,-2030000,-1970000,-1980000,-1990000,-2010000,-2010000,-2040000,-2060000,-5080000
Finance Costs,-80000,-150000,-160000,-200000,-240000,-540000,-500000,-470000,-550000,-480000,-430000,-380000,-490000,-510000,-480000,-580000,-560000,-510000,-800000,-1210000,-1220000,-1260000,-1330000,-1230000,-1220000,-1160000,-1110000,-1020000,-1020000,-920000,-910000,-730000,-680000,-710000,-620000,-570000,-550000,-690000,-1020000,-1070000,-1030000,-910000,-800000,-800000,-750000,-640000,-570000,-560000,-560000,-480000,-450000,-2360000
Other Income,80000,100000,100000,100000,490000,720000,650000,1000000,750000,710000,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional Items:: Gains,,,,,,,,,,,-1940000,,,,,,,,,,,,,-3570000,,,,,,,,,,,,-4850000,,,,,,,880000,,,,,-240000,,-130000,-100000,-660000
Earnings before Taxes,1870000,1520000,1880000,3170000,3490000,2350000,2010000,1550000,8750000,6810000,3770000,4100000,3460000,2530000,2450000,2440000,2660000,2720000,2590000,1340000,2320000,2050000,2750000,-1500000,2790000,2960000,3190000,2930000,4020000,3840000,3570000,3830000,4840000,4720000,3570000,-870000,5320000,4630000,4190000,4330000,5310000,5590000,6310000,6310000,6560000,6610000,6910000,6650000,7380000,7910000,8140000,5290000
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-380000,-390000,-300000,-730000,-930000,-370000,-340000,-250000,-2250000,-1720000,-870000,-1140000,-1260000,-380000,-590000,-710000,-410000,-590000,-890000,-540000,-530000,-720000,-920000,-630000,-840000,-740000,-550000,-470000,-820000,-720000,-750000,-1050000,-880000,-960000,-770000,-850000,-1040000,-810000,-700000,-1170000,-940000,-1200000,-1060000,-1420000,-1260000,-1560000,-1530000,-1840000,-2010000,-2330000,-2440000,-1660000
Provision for Income Tax,,,,,,,,,,,,-130000,720000,-80000,430000,-80000,-370000,-90000,-670000,50000,-160000,460000,-10000,610000,10000,-10000,-120000,-20000,10000,-20000,150000,70000,-660000,-440000,-480000,30000,-740000,-700000,-550000,-290000,-590000,-530000,-820000,-400000,-730000,-520000,-350000,170000,110000,330000,650000,10000
Provision for Income Tax,,,,,,,,,,,,10000,,,,410000,,,-450000,1430000,,,640000,,200000,230000,-10000,170000,,,,390000,,-160000,170000,510000,,,-20000,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest (After Tax),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000
Net Income (Loss),1490000,1130000,1580000,2440000,2560000,1980000,1670000,1300000,6500000,5090000,2900000,2840000,2920000,2070000,2290000,2060000,1880000,2040000,580000,2280000,1630000,1790000,2460000,-1520000,2160000,2440000,2510000,3140000,3210000,3100000,2970000,3240000,3300000,3160000,2490000,-1180000,3540000,3120000,2920000,2870000,3780000,3860000,4430000,4490000,4570000,4530000,5030000,4980000,5480000,5910000,6350000,3890000
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),1870000,1570000,1940000,3270000,3240000,2170000,1860000,1020000,8550000,6580000,5590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,8.81,6.64,9.34,14.44,15.12,11.69,9.86,7.7,38.4,30.01,17.19,16.82,17.28,12.25,13.47,12.17,11.08,12.07,3.37,13.55,9.66,10.57,14.5,-8.95,12.74,14.48,14.77,18.56,18.98,18.32,17.52,19.16,19.53,9.32,7.37,-3.49,10.45,9.22,8.63,8.48,11.18,11.39,13.1,13.27,13.51,13.37,14.88,14.71,16.19,17.45,18.77,11.51
Diluted EPS - Continuing Operations,8.81,6.64,9.34,14.44,,,9.86,7.7,38.4,30.01,17.19,16.82,17.28,12.25,13.47,12.17,11.08,12.07,3.37,,,,,,12.74,14.48,14.77,18.56,18.98,18.32,17.52,19.16,19.53,9.32,7.37,-3.49,10.45,9.22,8.63,8.48,11.18,11.39,13.1,13.27,13.51,13.37,14.88,14.71,16.19,17.45,18.77,11.51
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
