,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrent Pharmaceuticals Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE: 500420 (MI KEY: 4811331; SPCIQ KEY: 878525),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,8170000,,7694200,5810000,3269200,6690000,2842800,3300000,2791300,2530000,2411100,5150000,5887600,4150000,6618200,4670000,5725600,3150000,3984000,3430000,5085300,5380000,8351400,11460000,5734800,6210000,11172000
Investments,,1220000,,1856300,1800000,2984600,9680000,7795900,10830000,8035500,10140000,4922700,7080000,3513500,4490000,200,5600000,1390500,3040000,1839800,4630000,1560900,2340000,1410400,850000,1122100,890000,8657400
Bank Balances Other Than Cash and Cash Equivalents,,,,,,,,,4360000,6145900,6800000,6261200,4540000,2272800,1710000,48300,50000,309400,300000,50100,50000,629300,180000,39000,40000,59800,840000,480000
Bank Deposits Other Than Cash and Cash Equivalent,,,,,,2397300,,3627500,,,,,,,,,,,,,,,,,,,,
Trade Receivables,,8330000,,10994200,12230000,15945400,18240000,14450900,13810000,9508900,10870000,12534500,15760000,14357100,15180000,16493400,15560000,15233700,15610000,16324800,17540000,19438200,17520000,18443000,17830000,18664500,21850000,30308600
Assets for Current Tax (net),,,,,,358800,,88500,180000,,,,,,,,,,,,,,,,,,,
