date,Open,High,Low,Close,adjusted_close,Volume,__period__,company,Company,Ticker,Country
2013-12-31 00:00:00,279.929992675781,281.489990234375,278.600006103515,279.570007324218,279.570007324218,640600,2013-12-31,Biogen,,,
2014-01-02 00:00:00,279.440002441406,282.519989013671,276.209991455078,280.329986572265,280.329986572265,902200,2014-01-02,Biogen,,,
2014-01-03 00:00:00,279.799987792968,280.83999633789,275.480010986328,277.399993896484,277.399993896484,656000,2014-01-03,Biogen,,,
2014-01-06 00:00:00,278.029998779296,279.359985351562,270.619995117187,274.970001220703,274.970001220703,1019000,2014-01-06,Biogen,,,
2014-01-07 00:00:00,275.829986572265,277.170013427734,273.450012207031,273.519989013671,273.519989013671,819100,2014-01-07,Biogen,,,
2014-01-08 00:00:00,276.640014648437,290.989990234375,274.25,290.010009765625,290.010009765625,1436200,2014-01-08,Biogen,,,
2014-01-09 00:00:00,292.049987792968,297.0,288.0,289.75,289.75,1318700,2014-01-09,Biogen,,,
2014-01-10 00:00:00,291.570007324218,299.850006103515,286.299987792968,299.309997558593,299.309997558593,1866900,2014-01-10,Biogen,,,
2014-01-13 00:00:00,299.350006103515,302.950012207031,281.549987792968,283.670013427734,283.670013427734,2305500,2014-01-13,Biogen,,,
2014-01-14 00:00:00,284.700012207031,300.670013427734,280.309997558593,297.470001220703,297.470001220703,1651400,2014-01-14,Biogen,,,
2014-01-15 00:00:00,297.480010986328,298.630004882812,292.320007324218,296.720001220703,296.720001220703,1038700,2014-01-15,Biogen,,,
2014-01-16 00:00:00,297.269989013671,299.130004882812,291.75,294.0,294.0,1051200,2014-01-16,Biogen,,,
2014-01-17 00:00:00,293.600006103515,298.980010986328,293.190002441406,297.480010986328,297.480010986328,1413600,2014-01-17,Biogen,,,
2014-01-21 00:00:00,300.450012207031,311.200012207031,299.540008544921,310.5,310.5,1793100,2014-01-21,Biogen,,,
2014-01-22 00:00:00,309.799987792968,315.0,306.320007324218,310.540008544921,310.540008544921,1125200,2014-01-22,Biogen,,,
2014-01-23 00:00:00,307.230010986328,315.380004882812,305.480010986328,314.959991455078,314.959991455078,1578700,2014-01-23,Biogen,,,
2014-01-24 00:00:00,314.779998779296,315.130004882812,303.140014648437,303.600006103515,303.600006103515,1926700,2014-01-24,Biogen,,,
2014-01-27 00:00:00,303.609985351562,303.859985351562,292.529998779296,297.880004882812,297.880004882812,1515300,2014-01-27,Biogen,,,
2014-01-28 00:00:00,302.380004882812,306.0,297.019989013671,305.649993896484,305.649993896484,1723700,2014-01-28,Biogen,,,
2014-01-29 00:00:00,299.029998779296,318.420013427734,292.820007324218,305.459991455078,305.459991455078,2773800,2014-01-29,Biogen,,,
2014-01-30 00:00:00,310.720001220703,321.25,310.0,318.279998779296,318.279998779296,1812000,2014-01-30,Biogen,,,
2014-01-31 00:00:00,313.079986572265,317.450012207031,311.010009765625,312.640014648437,312.640014648437,1312900,2014-01-31,Biogen,,,
2014-02-03 00:00:00,314.83999633789,316.989990234375,298.149993896484,300.390014648437,300.390014648437,2205400,2014-02-03,Biogen,,,
2014-02-04 00:00:00,299.010009765625,310.059997558593,298.149993896484,308.179992675781,308.179992675781,2141100,2014-02-04,Biogen,,,
2014-02-05 00:00:00,307.390014648437,307.390014648437,294.019989013671,299.929992675781,299.929992675781,1887900,2014-02-05,Biogen,,,
2014-02-06 00:00:00,301.880004882812,307.350006103515,300.670013427734,301.010009765625,301.010009765625,1384600,2014-02-06,Biogen,,,
2014-02-07 00:00:00,303.130004882812,316.019989013671,301.380004882812,315.540008544921,315.540008544921,1504600,2014-02-07,Biogen,,,
2014-02-10 00:00:00,315.540008544921,318.230010986328,311.670013427734,317.959991455078,317.959991455078,1249800,2014-02-10,Biogen,,,
2014-02-11 00:00:00,314.309997558593,319.899993896484,313.0,319.820007324218,319.820007324218,1564600,2014-02-11,Biogen,,,
2014-02-12 00:00:00,319.269989013671,326.33999633789,318.630004882812,323.040008544921,323.040008544921,1461200,2014-02-12,Biogen,,,
2014-02-13 00:00:00,316.809997558593,329.450012207031,315.0,328.619995117187,328.619995117187,1311400,2014-02-13,Biogen,,,
2014-02-14 00:00:00,329.480010986328,331.739990234375,327.100006103515,328.290008544921,328.290008544921,1054300,2014-02-14,Biogen,,,
2014-02-18 00:00:00,327.899993896484,335.989990234375,326.959991455078,334.980010986328,334.980010986328,966900,2014-02-18,Biogen,,,
2014-02-19 00:00:00,334.119995117187,335.390014648437,326.649993896484,328.450012207031,328.450012207031,825700,2014-02-19,Biogen,,,
2014-02-20 00:00:00,330.329986572265,335.880004882812,323.309997558593,335.109985351562,335.109985351562,1317200,2014-02-20,Biogen,,,
2014-02-21 00:00:00,336.369995117187,349.769989013671,334.470001220703,347.109985351562,347.109985351562,1814700,2014-02-21,Biogen,,,
2014-02-24 00:00:00,348.149993896484,353.470001220703,345.619995117187,345.630004882812,345.630004882812,1668100,2014-02-24,Biogen,,,
2014-02-25 00:00:00,346.510009765625,349.540008544921,343.109985351562,346.299987792968,346.299987792968,1350500,2014-02-25,Biogen,,,
2014-02-26 00:00:00,342.170013427734,353.0,337.309997558593,343.209991455078,343.209991455078,1192400,2014-02-26,Biogen,,,
2014-02-27 00:00:00,342.5,348.390014648437,340.769989013671,343.859985351562,343.859985351562,1149800,2014-02-27,Biogen,,,
2014-02-28 00:00:00,346.160003662109,349.950012207031,335.019989013671,340.679992675781,340.679992675781,1861900,2014-02-28,Biogen,,,
2014-03-03 00:00:00,340.679992675781,342.359985351562,331.220001220703,338.380004882812,338.380004882812,1340400,2014-03-03,Biogen,,,
2014-03-04 00:00:00,343.529998779296,346.739990234375,341.100006103515,343.149993896484,343.149993896484,1107500,2014-03-04,Biogen,,,
2014-03-05 00:00:00,345.230010986328,346.299987792968,338.859985351562,339.0,339.0,1003300,2014-03-05,Biogen,,,
2014-03-06 00:00:00,346.859985351562,353.0,334.010009765625,340.690002441406,340.690002441406,2233200,2014-03-06,Biogen,,,
2014-03-07 00:00:00,341.790008544921,342.850006103515,323.720001220703,328.75,328.75,2785600,2014-03-07,Biogen,,,
2014-03-10 00:00:00,327.649993896484,338.600006103515,327.010009765625,338.0,338.0,1471000,2014-03-10,Biogen,,,
2014-03-11 00:00:00,338.25,341.260009765625,334.190002441406,335.989990234375,335.989990234375,1025600,2014-03-11,Biogen,,,
2014-03-12 00:00:00,333.049987792968,340.380004882812,332.279998779296,339.549987792968,339.549987792968,879300,2014-03-12,Biogen,,,
2014-03-13 00:00:00,341.040008544921,342.58999633789,329.029998779296,332.049987792968,332.049987792968,1064900,2014-03-13,Biogen,,,
2014-03-14 00:00:00,333.399993896484,340.0,329.230010986328,332.489990234375,332.489990234375,1330400,2014-03-14,Biogen,,,
2014-03-17 00:00:00,334.829986572265,349.0,334.320007324218,345.600006103515,345.600006103515,1561000,2014-03-17,Biogen,,,
2014-03-18 00:00:00,346.799987792968,354.070007324218,345.700012207031,351.940002441406,351.940002441406,1511100,2014-03-18,Biogen,,,
2014-03-19 00:00:00,352.489990234375,358.890014648437,347.0,350.010009765625,350.010009765625,1341500,2014-03-19,Biogen,,,
2014-03-20 00:00:00,348.269989013671,353.200012207031,344.720001220703,347.040008544921,347.040008544921,1369100,2014-03-20,Biogen,,,
2014-03-21 00:00:00,355.0,355.0,313.079986572265,318.529998779296,318.529998779296,5748300,2014-03-21,Biogen,,,
2014-03-24 00:00:00,320.200012207031,322.0,300.320007324218,312.600006103515,312.600006103515,3748000,2014-03-24,Biogen,,,
2014-03-25 00:00:00,316.0,321.140014648437,304.0,311.779998779296,311.779998779296,2148600,2014-03-25,Biogen,,,
2014-03-26 00:00:00,313.079986572265,317.279998779296,305.929992675781,305.929992675781,305.929992675781,1975900,2014-03-26,Biogen,,,
2014-03-27 00:00:00,306.640014648437,312.899993896484,296.649993896484,309.760009765625,309.760009765625,2021100,2014-03-27,Biogen,,,
2014-03-28 00:00:00,305.010009765625,314.190002441406,292.670013427734,294.119995117187,294.119995117187,2555300,2014-03-28,Biogen,,,
2014-03-31 00:00:00,296.109985351562,306.940002441406,296.109985351562,305.869995117187,305.869995117187,1952500,2014-03-31,Biogen,,,
2014-04-01 00:00:00,308.420013427734,316.33999633789,305.309997558593,309.790008544921,309.790008544921,1714800,2014-04-01,Biogen,,,
2014-04-02 00:00:00,311.640014648437,317.0,306.5,309.700012207031,309.700012207031,1483700,2014-04-02,Biogen,,,
2014-04-03 00:00:00,307.989990234375,308.989990234375,296.230010986328,301.859985351562,301.859985351562,2008100,2014-04-03,Biogen,,,
2014-04-04 00:00:00,303.709991455078,305.480010986328,286.299987792968,288.269989013671,288.269989013671,3288600,2014-04-04,Biogen,,,
2014-04-07 00:00:00,286.359985351562,297.760009765625,281.58999633789,294.190002441406,294.190002441406,2427600,2014-04-07,Biogen,,,
2014-04-08 00:00:00,295.480010986328,295.959991455078,284.320007324218,285.920013427734,285.920013427734,2502900,2014-04-08,Biogen,,,
2014-04-09 00:00:00,288.019989013671,301.450012207031,285.920013427734,300.679992675781,300.679992675781,1988700,2014-04-09,Biogen,,,
2014-04-10 00:00:00,300.100006103515,300.910003662109,284.570007324218,287.350006103515,287.350006103515,2635700,2014-04-10,Biogen,,,
2014-04-11 00:00:00,284.890014648437,292.799987792968,273.730010986328,274.0,274.0,2742500,2014-04-11,Biogen,,,
2014-04-14 00:00:00,277.910003662109,285.989990234375,274.0,279.519989013671,279.519989013671,1880100,2014-04-14,Biogen,,,
2014-04-15 00:00:00,280.549987792968,288.83999633789,272.019989013671,285.489990234375,285.489990234375,1871100,2014-04-15,Biogen,,,
2014-04-16 00:00:00,290.279998779296,294.0,284.070007324218,291.480010986328,291.480010986328,1768200,2014-04-16,Biogen,,,
2014-04-17 00:00:00,291.0,296.0,289.760009765625,290.540008544921,290.540008544921,1283400,2014-04-17,Biogen,,,
2014-04-21 00:00:00,290.600006103515,298.570007324218,290.200012207031,297.980010986328,297.980010986328,984400,2014-04-21,Biogen,,,
