date,Open,High,Low,Close,adjusted_close,Volume,Company,Ticker,Country,__period__,company
2014-12-31,279.4400024414062,361.9299926757812,270.6199951171875,339.4500122070312,339.4500122070312,368504900,Biogen,BIIB,USA,2014-12-31,Biogen
2015-12-31,342.8399963378906,480.1799926757812,254.0,306.3500061035156,306.3500061035156,551679600,Biogen,BIIB,USA,2015-12-31,Biogen
2016-12-31,300.3399963378906,333.6499938964844,223.0200042724609,283.5799865722656,283.5799865722656,458729900,Biogen,BIIB,USA,2016-12-31,Biogen
2017-12-31,285.8200073242188,348.8399963378906,244.2799987792969,318.5700073242188,318.5700073242188,362702700,Biogen,BIIB,USA,2017-12-31,Biogen
2018-12-31,321.1499938964844,388.6700134277344,249.1699981689453,300.9200134277344,300.9200134277344,397760400,Biogen,BIIB,USA,2018-12-31,Biogen
2019-12-31,296.8399963378906,344.0,215.7799987792969,296.7300109863281,296.7300109863281,476988400,Biogen,BIIB,USA,2019-12-31,Biogen
2020-12-31,299.0599975585938,374.989990234375,223.25,244.8600006103516,244.8600006103516,428983200,Biogen,BIIB,USA,2020-12-31,Biogen
2021-12-31,245.7400054931641,468.5499877929688,221.7200012207031,239.9199981689453,239.9199981689453,354150600,Biogen,BIIB,USA,2021-12-31,Biogen
2022-12-31,240.1499938964844,311.8800048828125,187.1600036621094,276.9200134277344,276.9200134277344,322378500,Biogen,BIIB,USA,2022-12-31,Biogen
2023-12-31,276.7300109863281,319.760009765625,220.8600006103516,258.7699890136719,258.7699890136719,256121000,Biogen,BIIB,USA,2023-12-31,Biogen
2024-12-31,257.5599975585938,268.2999877929688,145.0700073242188,152.9199981689453,152.9199981689453,305682300,Biogen,BIIB,USA,2024-12-31,Biogen
2025-12-31,153.8399963378906,185.1699981689453,110.0400009155273,175.9900054931641,175.9900054931641,419677900,Biogen,BIIB,USA,2025-12-31,Biogen
2026-12-31,175.3699951171875,222.1499938964844,160.3600006103516,216.7799987792969,216.7799987792969,199793000,Biogen,BIIB,USA,2026-12-31,Biogen
