date,Open,High,Low,Close,adjusted_close,Volume,Company,Country,Ticker,__period__,company
2014-01-31,77.08885955810547,77.27783203125,70.18656921386719,72.40445709228516,43.30588912963867,60878810,Sanofi,France,SNY,2014-01-31,Sanofi
2014-02-28,72.21548461914062,75.37820434570312,67.91896057128906,74.92070770263672,44.81088638305664,57241453,Sanofi,France,SNY,2014-02-28,Sanofi
2014-03-31,73.67749786376953,76.30315399169922,70.65401458740234,74.66211700439453,44.65621948242188,62793633,Sanofi,France,SNY,2014-03-31,Sanofi
2014-04-30,74.73174285888672,78.28234100341797,73.45869445800781,77.5960922241211,46.41106796264648,52521099,Sanofi,France,SNY,2014-04-30,Sanofi
2014-05-31,78.06353759765625,78.869140625,75.26880645751953,78.01380920410156,48.39933395385742,47290421,Sanofi,France,SNY,2014-05-31,Sanofi
2014-06-30,77.95413970947266,79.9830551147461,76.9894027709961,77.4071273803711,48.0229606628418,52461295,Sanofi,France,SNY,2014-06-30,Sanofi
2014-07-31,77.57620239257812,79.5653305053711,74.99032592773438,78.48125457763672,48.68935012817383,53936640,Sanofi,France,SNY,2014-07-31,Sanofi
2014-08-31,78.76968383789062,83.5436019897461,76.09429931640625,83.08609771728516,51.54616165161133,54901174,Sanofi,France,SNY,2014-08-31,Sanofi
2014-09-30,83.05626678466797,89.46127319335938,82.79767608642578,88.36724853515625,54.82256317138672,64767274,Sanofi,France,SNY,2014-09-30,Sanofi
2014-10-31,88.58605194091797,88.62583923339844,69.20195007324219,73.25978088378906,45.4499626159668,116619075,Sanofi,France,SNY,2014-10-31,Sanofi
2014-11-30,73.39901733398438,78.31217956542969,71.21097564697266,77.95413970947266,48.36232757568359,70677434,Sanofi,France,SNY,2014-11-30,Sanofi
2014-12-31,77.77511596679688,78.44147491455078,69.39091491699219,75.24891662597656,46.68401336669922,65055723,Sanofi,France,SNY,2014-12-31,Sanofi
2015-01-31,75.2886962890625,83.90164184570312,72.54369354248047,81.5544662475586,50.595947265625,79698598,Sanofi,France,SNY,2015-01-31,Sanofi
2015-02-28,81.75337982177734,88.68550872802734,79.9830551147461,87.22349548339844,54.11297988891602,65554414,Sanofi,France,SNY,2015-02-28,Sanofi
2015-03-31,86.87539672851562,93.88709259033205,85.24430847167969,92.42507934570312,57.34001159667969,71754555,Sanofi,France,SNY,2015-03-31,Sanofi
2015-04-30,92.7930679321289,98.69084930419922,89.72980499267578,90.70448303222656,56.2725715637207,58250863,Sanofi,France,SNY,2015-04-30,Sanofi
2015-05-31,90.58513641357422,93.07154846191406,86.55713653564453,89.5706787109375,57.36188507080078,61813326,Sanofi,France,SNY,2015-05-31,Sanofi
2015-06-30,90.157470703125,93.35997772216795,84.43871307373047,89.21263122558594,57.13258361816406,86809989,Sanofi,France,SNY,2015-06-30,Sanofi
2015-07-31,90.00828552246094,99.28759002685548,85.54267883300781,97.4376983642578,62.39998626708984,65162087,Sanofi,France,SNY,2015-07-31,Sanofi
2015-08-31,97.46753692626952,100.5506896972656,79.75430297851562,85.5327377319336,54.77593994140625,68975749,Sanofi,France,SNY,2015-08-31,Sanofi
